skill,model,pr_auc,roc_auc,f1,threshold
1с программирование,catboost,0.327515037740504,0.9229432402463484,0.396078431372549,0.7594
1с программирование,xgboost,0.3133320982949276,0.9160358752154136,0.3789954337899543,0.8131
1с программирование,lightgbm,0.3278586751876408,0.91745901841964,0.3826879271070615,0.8259
организаторские навыки,catboost,0.114070442282858,0.7823935345688658,0.1567567567567567,0.7648
организаторские навыки,xgboost,0.1409095366970204,0.7912596481201917,0.2366412213740458,0.7009
организаторские навыки,lightgbm,0.1493184126934599,0.7890904278678422,0.1711642251349267,0.5569
деловая переписка,catboost,0.1070280762806082,0.7906545572989471,0.1779141104294478,0.7586
деловая переписка,xgboost,0.1297867778061515,0.8054340388255937,0.1957040572792363,0.7262
деловая переписка,lightgbm,0.1158885521073754,0.8046392617226295,0.1947368421052631,0.7446
английский язык,catboost,0.2290068628292109,0.7557078722800387,0.3285714285714285,0.6272
английский язык,xgboost,0.2346254777210262,0.7405802765458339,0.3254593175853018,0.5972
английский язык,lightgbm,0.2474016675898389,0.7499594221717253,0.3428571428571428,0.657
javascript,catboost,0.5062290205761001,0.9311370219822336,0.5069306930693069,0.6595
javascript,xgboost,0.5170986271148095,0.9393613480142288,0.5086042065009561,0.5259
javascript,lightgbm,0.5121935899767134,0.9303035517651056,0.4877126654064272,0.4491
1с: предприятие 8,catboost,0.1580716733954408,0.8554230105814841,0.237037037037037,0.7611
1с: предприятие 8,xgboost,0.1716472774333892,0.8733212467243838,0.2864450127877238,0.7841
1с: предприятие 8,lightgbm,0.1730626928944169,0.8756447573556241,0.2896174863387978,0.8023
бизнес-анализ,catboost,0.2060592431398288,0.8453248927568435,0.2579281183932346,0.6524
бизнес-анализ,xgboost,0.2065410224630056,0.8512579853717248,0.252,0.6385
бизнес-анализ,lightgbm,0.1845494970433074,0.8396136160232077,0.2323651452282157,0.655
управление командой,catboost,0.1535688436838961,0.8357619155049133,0.2140468227424749,0.7464
управление командой,xgboost,0.1444904289226147,0.8115219355310586,0.1976401179941003,0.4977
управление командой,lightgbm,0.1466527930859873,0.8207840277069548,0.2345276872964169,0.717
разработка технических заданий,catboost,0.1676980103212028,0.7721348407784167,0.228395061728395,0.7156
разработка технических заданий,xgboost,0.160798598312012,0.7814126662810872,0.2280130293159609,0.7313
разработка технических заданий,lightgbm,0.1327505715452669,0.7741288316946211,0.1893004115226337,0.8087
java,catboost,0.5149323273743718,0.9219977349893616,0.5836065573770491,0.7712
java,xgboost,0.5005635608912011,0.9287329012018176,0.5466237942122186,0.6942
java,lightgbm,0.5248602370665053,0.9291431734973984,0.5654761904761905,0.6305
деловое общение,catboost,0.1400187591144272,0.7976248182258846,0.1877551020408163,0.6476
деловое общение,xgboost,0.1258931278915471,0.7970395028992904,0.2020905923344947,0.7807
деловое общение,lightgbm,0.1431080335861953,0.7970930052143357,0.2344322344322344,0.7877
