combination,size,freq_count,n_with,raw_premium,adjusted_premium,strata_used,best_individual_premium,synergy
Деловая переписка + Деловое общение + Телефонные переговоры,3,92,92,60801.0,77448.0,7,37182.0,40266.0
Ведение переговоров + Телефонные переговоры,2,86,86,46434.0,68016.0,5,38237.0,29779.0
Заключение договоров + Поиск и привлечение клиентов,2,92,92,55735.0,65941.0,6,41554.0,24387.0
Заключение договоров + Телефонные переговоры,2,139,139,49022.0,62617.0,7,41554.0,21063.0
B2B Продажи + Заключение договоров,2,102,102,55990.0,61320.0,7,41872.0,19448.0
Активные продажи + Деловое общение,2,115,115,44563.0,59985.0,7,38503.0,21482.0
Активные продажи + Заключение договоров,2,111,111,47226.0,56476.0,6,41554.0,14922.0
Работа с большим объемом информации + Телефонные переговоры,2,81,81,27888.0,55632.0,5,37182.0,18450.0
B2B Продажи + Активные продажи,2,148,148,44799.0,55492.0,6,41872.0,13620.0
Деловая коммуникация + Заключение договоров,2,124,124,55410.0,55258.0,7,41554.0,13704.0
Деловое общение + Телефонные переговоры,2,178,178,37238.0,55247.0,8,37182.0,18065.0
Поиск и привлечение клиентов + Телефонные переговоры,2,108,108,42107.0,55168.0,5,40593.0,14575.0
Деловое общение + Заключение договоров,2,104,104,41782.0,52781.0,7,41554.0,11227.0
Активные продажи + Управление продажами,2,83,83,39332.0,52634.0,6,40691.0,11943.0
B2B Продажи + Деловая коммуникация,2,80,80,43971.0,51188.0,7,41872.0,9316.0
B2B Продажи + Поиск и привлечение клиентов,2,103,103,44782.0,50574.0,7,41872.0,8702.0
Активные продажи + Поиск и привлечение клиентов,2,144,144,34503.0,49999.0,6,40593.0,9406.0
Активные продажи + Телефонные переговоры,2,163,163,33060.0,49648.0,7,38503.0,11145.0
Активные продажи + Холодные продажи,2,90,90,38727.0,48291.0,6,47367.0,924.0
Управление командой + Управление продажами,2,82,82,49253.0,48188.0,4,40691.0,7497.0
Развитие продаж + Управление продажами,2,123,123,54595.0,47996.0,5,40691.0,7305.0
Навыки продаж + Телефонные переговоры,2,102,102,29120.0,47905.0,5,37182.0,10723.0
Активные продажи + Деловая переписка,2,86,86,32812.0,44666.0,5,38503.0,6163.0
B2B Продажи + Развитие продаж,2,87,87,50188.0,44204.0,7,41872.0,2332.0
BPMN + SQL,2,83,83,78587.0,43986.0,6,29421.0,14565.0
Деловая переписка + Телефонные переговоры,2,154,154,24145.0,43073.0,7,37182.0,5891.0
Деловое общение + Навыки продаж,2,95,95,20569.0,43016.0,5,29354.0,13662.0
Деловая переписка + Деловое общение + Работа с большим объемом информации,3,86,86,23787.0,41753.0,6,15117.0,26636.0
Деловая коммуникация + Телефонные переговоры,2,119,119,21009.0,39496.0,8,37182.0,2314.0
Организаторские навыки + Руководство коллективом,2,137,137,54593.0,39171.0,8,28718.0,10453.0
B2B Продажи + Телефонные переговоры,2,120,120,25308.0,38306.0,6,41872.0,-3566.0
Поиск и привлечение клиентов + Развитие продаж,2,92,92,35911.0,37912.0,6,40593.0,-2681.0
Активные продажи + Развитие продаж,2,98,98,25929.0,36406.0,6,38503.0,-2097.0
Деловая переписка + Заключение договоров,2,125,125,23856.0,36068.0,6,41554.0,-5486.0
Руководство коллективом + Управление командой,2,97,97,41462.0,33608.0,5,28718.0,4890.0
Активные продажи + Навыки продаж,2,148,148,-27.0,32360.0,6,38503.0,-6143.0
BPMN + UML,2,81,81,71051.0,32209.0,7,29421.0,2788.0
PostgreSQL + Python,2,155,155,52319.0,29139.0,8,30025.0,-886.0
Деловое общение + Работа с большим объемом информации,2,136,136,5948.0,27441.0,8,15117.0,12324.0
PostgreSQL + SQL,2,184,184,53878.0,27091.0,10,30025.0,-2934.0
Git + PostgreSQL,2,150,150,44147.0,26328.0,8,30025.0,-3697.0
Docker + PostgreSQL,2,138,138,59022.0,26271.0,8,30025.0,-3754.0
Деловое общение + Организаторские навыки,2,144,144,12164.0,26035.0,7,15117.0,10918.0
Деловая переписка + Деловое общение,2,243,243,8348.0,25285.0,7,15117.0,10168.0
Git + SQL,2,154,154,34610.0,24485.0,10,16912.0,7573.0
Деловая коммуникация + Деловая переписка + Организаторские навыки,3,85,85,8179.0,24223.0,6,12039.0,12184.0
Деловая коммуникация + Организаторские навыки,2,228,228,24409.0,24157.0,8,12039.0,12118.0
Linux + PostgreSQL,2,105,105,50038.0,23322.0,6,30025.0,-6703.0
PostgreSQL + REST API,2,103,103,54689.0,23018.0,7,30025.0,-7007.0
Ведение переговоров + Управление проектами,2,80,80,14792.0,21078.0,5,38237.0,-17159.0
Деловая коммуникация + Деловая переписка + Деловое общение,3,105,105,11728.0,20517.0,7,15117.0,5400.0
Деловая коммуникация + Деловое общение,2,165,165,11506.0,20195.0,7,15117.0,5078.0
Системы видеонаблюдения + Техническое обслуживание,2,80,80,-24062.0,20160.0,4,6144.0,14016.0
1С программирование + 1С: Бухгалтерия,2,124,124,30859.0,19954.0,5,21734.0,-1780.0
REST API + SQL,2,94,94,38278.0,19601.0,5,16912.0,2689.0
1С программирование + 1С: Управление Торговлей,2,128,128,34540.0,19499.0,6,21734.0,-2235.0
Монтаж оборудования + Техническое обслуживание,2,118,118,-29917.0,18960.0,4,15706.0,3254.0
1С программирование + 1С: Предприятие 8,2,192,192,24431.0,18346.0,8,21734.0,-3388.0
Git + Python,2,122,122,33453.0,17649.0,8,14378.0,3271.0
1С: Бухгалтерия + 1С: Управление Торговлей,2,86,86,29419.0,17628.0,4,14469.0,3159.0
Организаторские навыки + Управление командой,2,136,136,28220.0,17426.0,6,28000.0,-10574.0
Монтаж оборудования + Настройка сетевых подключений,2,117,117,-44881.0,16417.0,4,15706.0,711.0
Деловая коммуникация + Работа с большим объемом информации,2,151,151,11953.0,16387.0,8,8508.0,7879.0
Docker + Python,2,127,127,51510.0,16290.0,7,26090.0,-9800.0
Docker + Git,2,125,125,39313.0,16134.0,8,26090.0,-9956.0
Постановка задач разработчикам + Разработка технических заданий,2,86,86,38743.0,15331.0,6,15529.0,-198.0
Деловая переписка + Организаторские навыки,2,146,146,-850.0,15075.0,7,12039.0,3036.0
Linux + SQL,2,97,97,15075.0,14655.0,7,16912.0,-2257.0
1С: Предприятие 8 + 1С: Управление Торговлей,2,102,102,23078.0,14372.0,5,14469.0,-97.0
Монтаж оборудования + Системы видеонаблюдения,2,85,85,-30176.0,14067.0,3,15706.0,-1639.0
Python + SQL,2,190,190,28104.0,13968.0,9,16912.0,-2944.0
Настройка сетевых подключений + Системы видеонаблюдения,2,93,93,-38185.0,13769.0,3,5742.0,8027.0
Организаторские навыки + Работа с большим объемом информации,2,135,135,7625.0,13447.0,8,12039.0,1408.0
1С программирование + Обновление конфигурации 1С,2,104,104,21315.0,12735.0,5,21734.0,-8999.0
Docker + Linux,2,129,129,41476.0,12617.0,6,26090.0,-13473.0
Деловое общение + Обучение и развитие,2,81,81,-8141.0,12605.0,5,15117.0,-2512.0
1С + 1С программирование,2,113,113,21583.0,12580.0,5,21734.0,-9154.0
Обучение персонала + Организаторские навыки,2,86,86,4629.0,12578.0,5,12039.0,539.0
JavaScript + TypeScript,2,85,85,30562.0,12225.0,6,2142.0,10083.0
Настройка сетевых подключений + Техническое обслуживание,2,123,123,-35403.0,12144.0,5,6144.0,6000.0
Аналитическое мышление + Организаторские навыки,2,93,93,15685.0,11372.0,8,12039.0,-667.0
Git + Linux,2,118,118,24218.0,11340.0,7,14378.0,-3038.0
Git + PHP,2,112,112,19354.0,11327.0,7,14378.0,-3051.0
Linux + Python,2,153,153,20514.0,10665.0,7,9965.0,700.0
Деловая переписка + Работа с большим объемом информации,2,190,190,-5753.0,10463.0,7,2139.0,8324.0
