,coef
skill_SEO оптимизация,-12080.51153228769
skill_Пользователь ПК,-12543.12906408371
skill_Настройка ПК,-12585.903329495774
skill_Анализ данных,-12848.069361520553
skill_Подбор персонала,-13229.565717655776
skill_Яндекс.Метрика,-13233.22740390429
skill_Деловая переписка,-13343.55044759022
skill_Веб-программирование,-14571.286578847474
skill_Figma,-16530.78093724271
skill_Обучение и развитие,-16684.98964550237
skill_Документооборот,-21137.993384286354
