,coef
skill_PyTorch,42830.71556195721
skill_Управление процессами,33031.87297119181
skill_Golang,28074.146049021256
skill_B2C продажи,22981.562449892084
skill_Clickhouse,22389.75726235331
skill_C/C++,20672.10543245049
skill_Symfony,20444.90292590129
skill_Управление рисками,19885.99156123554
skill_ERP-системы на базе 1С,17472.445218593515
skill_AI,16829.96990325818
skill_Автоматизация процессов,16204.538443687085
skill_Kafka,16052.545860609416
skill_1С программирование,15914.978964905515
skill_C++,15655.633048446234
skill_Выездное обслуживание,15497.640044553296
skill_Знание устройства автомобиля,14783.12272977561
skill_Взаимодействие с контрольными органами,14303.038171638773
skill_Управление командой,13951.7213218739
skill_Управление строительством,13736.079244620412
skill_Kubernetes,13660.94862673108
skill_Строительство,13069.052402294154
skill_Пунктуальность,13057.54964295684
skill_Ориентация на результат,12974.730630909133
skill_BPMN,12867.8452215801
skill_Умение принимать решения,12527.309307689664
skill_Руководство коллективом,12197.793886977712
skill_1C: ERP,11666.543733425688
skill_Agile Project Management,11615.781191827236
skill_Стратегическое мышление,11493.03105961311
skill_Оперативное планирование,11435.308464885724
skill_1С: Зарплата и управление персоналом,10994.720208631326
skill_MS Project,10731.640291682297
skill_Ansible,10612.117645698281
skill_SPIN-продажи,10525.002729676982
skill_Мотивация,10402.403501062789
skill_Транспортная логистика,10354.155419098928
skill_Бюджетирование,9969.542008475697
skill_Стратегический менеджмент,9654.372519083974
skill_Java,9498.565974681034
skill_Работа с CRM,9412.780764203071
skill_Проведение переговоров,9185.77271865779
skill_Power BI,9047.880226636342
skill_Построение воронки продаж,9039.753917024296
skill_Стратегическое планирование,9013.062758971233
skill_Kotlin,8991.739329346034
skill_Управление производством,8770.70533478991
skill_Производство строительно-монтажных работ,8756.044750945946
skill_Лидерство,8736.39644255117
skill_Логистика,8699.102496630761
skill_LLM,8605.475610933421
skill_Постановка задач разработчикам,8511.871889287682
skill_Разработка бизнес-требований,8452.795674832374
skill_DNS,8385.520022986879
skill_Навыки межличностного общения,8332.64542435862
skill_Монтаж оборудования,8327.163096915683
skill_Контроль исполнения решений,8203.866067022243
skill_Настройка роутеров,7942.669504403034
skill_RabbitMQ,7885.916251418515
skill_СУБД,7652.579760427514
skill_User Story,7393.9243574856355
skill_Управление продажами,7384.918538974765
skill_Анализ финансовых показателей,7186.026793557574
skill_Информационная безопасность,6995.142621424052
skill_Сопровождение клиентов,6885.487951886132
skill_Управление персоналом,6829.139176942782
skill_Контроль и анализ ценообразования,6776.346824152871
skill_Выбор подрядных организаций,6765.864962846137
skill_PostgreSQL,6601.645144980637
skill_Лидогенерация,6559.63584633691
skill_Диагностика,6527.212748622951
skill_Анализ рынка,6414.2934988267925
skill_Развитие бренда,6357.642882470298
skill_VueJS,6353.740526117568
skill_Ориентация на клиента,6347.054736294414
skill_JSON API,6272.284524498022
skill_Node.js,5921.32035993889
skill_DevOps,5898.892171582989
skill_Cisco,5842.40099096489
skill_1С: Документооборот,5821.1742684583705
skill_Управление конфликтами,5808.301501878342
skill_слаботочные системы,5777.089194748253
skill_Поиск информации в интернет,5776.924731569833
skill_VMware,5761.380797217491
skill_Git,5742.366218015086
skill_Активные продажи,5572.812778602352
skill_Анализ продаж,5542.651256395808
skill_Корпоративная культура,5510.351071435738
skill_Маркетинговые исследования,5506.854623864715
skill_Unit-экономика,5425.276310602572
skill_Python,5396.688716979482
skill_Взаимодействие с надзорными организациями,5281.999238585215
skill_Ведение переговоров,5266.620996478552
skill_Лидерские качества,5104.121573751279
skill_Медиапланирование,5102.95234714332
skill_Управление ресурсами,5098.721835768618
skill_Резервное копирование,5078.379089754879
skill_Управление отношениями с клиентами,5021.304359007998
skill_Документальное сопровождение,4991.830215660328
skill_Системная интеграция,4982.997004662726
skill_TypeScript,4934.535570014559
skill_SaaS,4833.796600838802
skill_MS SQL,4827.19396628661
skill_Строительный контроль,4780.766032028615
skill_Работа на выставках,4751.814289837751
skill_VLAN,4656.045150765127
skill_Проведение презентаций,4643.898184077076
skill_Холодные продажи,4629.3975452982795
skill_Работа с документами,4624.425835059698
skill_MongoDB,4600.190648725661
skill_SEO-копирайтинг,4593.6077642321
skill_Управленческая отчетность,4590.910997828709
skill_Планирование продаж,4507.500374476522
skill_AutoCAD,4497.18442326381
skill_Управление эффективностью,4477.456562588635
skill_Складская логистика,4476.955248227961
skill_A/B тесты,4417.565968990382
skill_Составление договоров,4292.269885637545
skill_Проектная документация,4241.378102656418
skill_Закупки,4206.075397711826
skill_Выездное обслуживание оборудования,4202.078826879107
skill_CI/CD,4193.349775352687
skill_Умение работать в команде,4070.2198762655603
skill_Системный подход,4065.8869556229633
skill_Бизнес-планирование,3916.0051111226317
skill_Prometheus,3875.204979774563
skill_SQL,3829.512672469839
skill_Запуск новых продуктов,3749.267083059296
skill_Информационные технологии,3608.869742942551
skill_Делегирование,3568.2990758391743
skill_1С: Управление Торговлей,3496.3189109612417
skill_Кассовые чеки,3475.495476719712
skill_Redis,3456.2839731450167
skill_Аналитика продаж,3452.3716815203948
skill_Заключение договоров,3438.4324245320845
skill_Продуктовая стратегия,3432.5593689924785
skill_Разработка нового продукта,3397.4074122868524
skill_PHP,3342.847472771941
skill_Финансовый контроль,3323.342939683798
skill_Навыки переговоров,3288.4147242082904
skill_Развитие ключевых клиентов,3277.4560005138233
skill_Техническая документация,3229.407702929386
