skill,Москва_shap,Москва_n,Санкт-Петербург_shap,Санкт-Петербург_n,Other_shap,Other_n,spread
Постановка задач разработчикам,1204.0,82,1574.0,20,1555.0,86,370.0
MongoDB,-3053.0,22,-3007.0,11,-3367.0,15,360.0
Управление командой,18497.0,151,18489.0,27,18844.0,190,355.0
Анализ конкурентной среды,555.0,76,527.0,19,878.0,54,351.0
Настройка почтовых серверов,-1124.0,26,-804.0,16,-796.0,35,328.0
Linux,818.0,210,1003.0,69,1146.0,253,328.0
Работа в команде,-2263.0,79,-1937.0,41,-2108.0,237,326.0
Сбор и анализ информации,-6337.0,58,-6015.0,14,-6078.0,75,322.0
PHP,-313.0,100,-48.0,38,9.0,144,322.0
Управление персоналом,-611.0,19,-601.0,13,-296.0,67,315.0
Мониторинг рынка,188.0,44,-126.0,11,-95.0,31,314.0
Яндекс.Директ,-988.0,24,-769.0,10,-683.0,21,305.0
Деловая переписка,-5118.0,225,-4819.0,84,-4826.0,344,299.0
Пользователь ПК,-3637.0,46,-3349.0,19,-3446.0,152,288.0
Умение планировать,-722.0,24,-775.0,11,-1007.0,43,285.0
Проведение презентаций,327.0,74,469.0,15,193.0,104,276.0
Zabbix,-1488.0,47,-1687.0,10,-1423.0,34,264.0
Клиентоориентированность,-906.0,68,-1152.0,10,-1157.0,63,251.0
MS Excel,-2123.0,78,-1980.0,25,-1874.0,89,249.0
Работа с базами данных,-704.0,59,-829.0,19,-933.0,117,229.0
Грамотная речь,-2585.0,73,-2698.0,29,-2806.0,147,221.0
1С: Бухгалтерия,1089.0,74,1211.0,16,995.0,144,216.0
Redis,1188.0,57,1388.0,11,1179.0,38,209.0
Проектный менеджмент,-488.0,75,-323.0,17,-281.0,70,207.0
Деловое общение,309.0,211,177.0,69,119.0,324,190.0
Управленческие навыки,-330.0,44,-141.0,18,-241.0,83,189.0
Atlassian Jira,146.0,43,-35.0,20,103.0,27,181.0
Разработка технических заданий,-89.0,101,-22.0,36,89.0,160,178.0
Active Directory,-11296.0,39,-11388.0,11,-11220.0,47,168.0
Установка ПО,-2818.0,42,-2978.0,15,-2863.0,79,160.0
REST API,354.0,106,468.0,26,510.0,87,156.0
Node.js,-113.0,39,-16.0,21,37.0,41,150.0
UI,-766.0,33,-677.0,12,-620.0,22,146.0
Резервное копирование,-160.0,30,-297.0,10,-263.0,40,137.0
Автоматизация процессов,1160.0,51,1023.0,16,1029.0,70,137.0
Подготовка презентаций,-1055.0,45,-922.0,11,-1039.0,46,133.0
Проектная документация,781.0,60,826.0,20,909.0,80,128.0
Администрирование серверов Linux,15.0,36,139.0,14,63.0,49,124.0
Настройка ПО,-858.0,59,-740.0,30,-744.0,173,118.0
Навыки продаж,1580.0,73,1510.0,20,1467.0,182,113.0
1С: Документооборот,-194.0,52,-168.0,18,-94.0,95,100.0
Agile,1438.0,36,1341.0,14,1400.0,32,97.0
Функциональное тестирование,-1324.0,13,-1275.0,17,-1232.0,33,92.0
Поиск информации в интернет,-461.0,27,-511.0,10,-427.0,67,84.0
1С,-100.0,94,-47.0,20,-130.0,152,83.0
1С: Зарплата и управление персоналом,100.0,30,36.0,12,19.0,68,81.0
Обучение персонала,-356.0,66,-344.0,16,-420.0,143,76.0
Коммуникабельность,-68.0,48,-97.0,12,-134.0,60,66.0
JavaScript,-115.0,120,-52.0,49,-63.0,177,63.0
Java,530.0,67,590.0,31,542.0,82,60.0
Анализ требований,52.0,33,61.0,18,8.0,41,53.0
API,11.0,87,44.0,26,-1.0,51,45.0
Продвижение бренда,-661.0,72,-620.0,14,-659.0,56,41.0
Работа с большим объемом информации,-2797.0,235,-2837.0,73,-2808.0,373,40.0
Бизнес-анализ,76.0,98,105.0,29,114.0,112,38.0
Администрирование ОС,-628.0,19,-650.0,12,-612.0,36,38.0
Интернет-реклама,-497.0,57,-529.0,14,-507.0,52,32.0
Ведение документации,-2551.0,16,-2528.0,11,-2558.0,53,30.0
Анализ рынка,-112.0,80,-110.0,15,-82.0,64,30.0
Project management,-501.0,48,-518.0,12,-529.0,22,28.0
Аналитическое мышление,-230.0,272,-207.0,84,-205.0,365,25.0
Мотивация персонала,49.0,40,73.0,11,65.0,75,24.0
Подготовка коммерческих предложений,220.0,53,206.0,13,230.0,57,24.0
MikroTik,-607.0,24,-596.0,13,-619.0,27,23.0
Обновление конфигурации 1С,146.0,36,146.0,12,137.0,76,9.0
Администрирование серверов Windows,-290.0,48,-290.0,21,-281.0,76,9.0
Планирование,115.0,59,106.0,11,106.0,80,9.0
1С: Предприятие 8,0.0,114,0.0,29,0.0,237,0.0
Ответственность,0.0,98,0.0,16,0.0,143,0.0
Управление проектами,0.0,103,0.0,30,0.0,153,0.0
1С: Предприятие,0.0,29,0.0,11,0.0,68,0.0
Консультирование клиентов,0.0,30,0.0,22,0.0,56,0.0
TCP/IP,0.0,40,0.0,13,0.0,59,0.0
Маркетплейсы,0.0,81,0.0,10,0.0,39,0.0
TypeScript,0.0,54,0.0,19,0.0,61,0.0
Системы видеонаблюдения,0.0,40,0.0,18,0.0,110,0.0
Ремонт ПК,0.0,28,0.0,14,0.0,99,0.0
CSS,0.0,38,0.0,14,0.0,68,0.0
AutoCAD,0.0,54,0.0,17,0.0,44,0.0
Маркетинговый анализ,0.0,57,0.0,16,0.0,62,0.0
REST,0.0,56,0.0,13,0.0,53,0.0
Инженерные системы,0.0,33,0.0,18,0.0,56,0.0
Планирование бюджета,0.0,37,0.0,15,0.0,30,0.0
Internet Marketing,0.0,40,0.0,13,0.0,33,0.0
Организация работы сотрудников,0.0,41,0.0,10,0.0,37,0.0
Монтаж инженерных систем,0.0,20,0.0,10,0.0,58,0.0
Bash,0.0,36,0.0,16,0.0,36,0.0
UML,0.0,56,0.0,14,0.0,27,0.0
ООП,0.0,28,0.0,13,0.0,56,0.0
Документальное сопровождение,0.0,36,0.0,15,0.0,53,0.0
Сборка ПК,0.0,21,0.0,12,0.0,49,0.0
MS SQL Server,0.0,27,0.0,13,0.0,35,0.0
Digital Marketing,0.0,34,0.0,11,0.0,20,0.0
Управление подрядчиками,0.0,25,0.0,10,0.0,28,0.0
Продуктовые метрики,0.0,30,0.0,11,0.0,23,0.0
CSS3,0.0,22,0.0,10,0.0,28,0.0
Postman,0.0,23,0.0,10,0.0,24,0.0
