skill,n_with,adjusted_premium
Kubernetes,201,36864.0
Стратегическое мышление,223,30857.0
Умение принимать решения,153,27397.0
Работа с CRM,178,26129.0
ERP-системы на базе 1С,360,25630.0
Прямые продажи,217,25169.0
Строительство,310,24696.0
Стратегическое планирование,171,24636.0
BPMN,221,24294.0
Автоматизация процессов,284,24102.0
Управление отношениями с клиентами,207,23620.0
Управление командой,739,22678.0
Руководство коллективом,563,22179.0
UML,152,21769.0
Холодные продажи,278,21596.0
1С программирование,828,21362.0
PostgreSQL,759,20854.0
Управление продажами,489,20394.0
Управленческие навыки,311,19150.0
Redis,194,18645.0
1С: Управление Торговлей,396,17279.0
Ориентация на результат,209,17274.0
Обновление конфигурации 1С,260,16930.0
Docker,519,16848.0
CI/CD,167,15755.0
1С: Зарплата и управление персоналом,224,15679.0
Планирование продаж,394,15312.0
Развитие продаж,535,15136.0
Активные продажи,876,14736.0
Постановка задач разработчикам,377,14546.0
Поиск и привлечение клиентов,523,14255.0
C++,297,14226.0
Аналитика продаж,378,13939.0
Навыки переговоров,467,13810.0
B2B Продажи,673,13480.0
Node.js,151,13433.0
Контроль исполнения решений,154,12995.0
Монтаж оборудования,284,12992.0
Оптимизация бизнес-процессов,295,12971.0
Git,821,12678.0
Навыки презентации,278,12616.0
Навыки продаж,480,12580.0
Заключение договоров,682,12224.0
REST,182,11860.0
Ведение переговоров,475,11094.0
Планирование,307,11012.0
MS SQL,227,10869.0
Проектная документация,334,10805.0
SQL,1190,10730.0
Бюджетирование,175,10715.0
Проведение презентаций,400,10419.0
Системный анализ,288,10255.0
1С: Предприятие,218,10246.0
1С: Бухгалтерия,474,10103.0
REST API,359,9846.0
1С: Документооборот,332,9701.0
Bash,171,9376.0
AutoCAD,211,8975.0
Бизнес-анализ,486,8376.0
Анализ бизнес показателей,163,8285.0
Анализ продаж,163,8284.0
Python,1072,8252.0
1С: Предприятие 8,787,8176.0
Мотивация персонала,239,7950.0
TypeScript,217,7784.0
Телефонные переговоры,794,7601.0
Управление персоналом,154,7215.0
Подготовка коммерческих предложений,277,6972.0
Разработка технических заданий,579,6547.0
Техническая документация,290,6370.0
1С,579,6338.0
Java,308,6293.0
Маркетинговая стратегия,158,5650.0
API,296,5512.0
Консультирование клиентов,213,5508.0
Linux,979,4977.0
Agile,168,4394.0
Инженерные системы,171,3488.0
Базы данных,293,2971.0
Разработка ПО,190,2961.0
Навыки межличностного общения,171,2934.0
Анализ требований,158,2778.0
Настройка роутеров,156,2524.0
Разработка инструкций,149,2340.0
Организаторские навыки,1433,2234.0
Документальное сопровождение,224,2126.0
ООП,181,1829.0
Системы видеонаблюдения,231,1799.0
Планирование бюджета,177,1787.0
Анализ рынка,322,1684.0
Анализ конкурентной среды,321,1663.0
Английский язык,572,1461.0
Управление проектами,589,1009.0
CRM,159,779.0
Техническое обслуживание,398,692.0
React,194,622.0
Информационная безопасность,161,411.0
Работа с базами данных,395,348.0
Деловое общение,1103,67.0
Анализ бизнес-процессов,166,43.0
Бухгалтерский учет,169,-234.0
C#,190,-399.0
Аналитическое мышление,1405,-696.0
Обучение персонала,414,-1041.0
Проектный менеджмент,288,-1154.0
Организация работы сотрудников,178,-1662.0
Деловая коммуникация,1527,-1796.0
Информационные технологии,437,-1841.0
Внимательность,205,-2207.0
PHP,490,-2279.0
Мониторинг рынка,162,-2465.0
Клиентоориентированность,235,-2907.0
Project management,163,-3179.0
TCP/IP,215,-3195.0
Поиск информации в интернет,152,-3545.0
Умение работать в коллективе,389,-3683.0
Ответственность,392,-3900.0
Коммуникабельность,211,-4386.0
E-Commerce,240,-4706.0
Битрикс24,278,-4997.0
Маркетинговый анализ,265,-5277.0
Работа в команде,597,-6007.0
Контроль качества,395,-6263.0
Администрирование серверов Linux,196,-6526.0
Анализ данных,387,-6697.0
MySQL,372,-6825.0
Работа с большим объемом информации,1295,-7182.0
Администрирование,212,-7228.0
Деловая переписка,1168,-7282.0
Грамотная речь,453,-8005.0
Обучение и развитие,797,-8456.0
Пользователь ПК,358,-8871.0
Ведение документации,164,-9147.0
Продвижение бренда,303,-9237.0
Точность и внимательность к деталям,425,-9782.0
MS Excel,383,-9851.0
Подготовка презентаций,200,-11574.0
JavaScript,568,-11705.0
Zabbix,171,-11746.0
Подбор персонала,432,-13467.0
MS PowerPoint,184,-13547.0
1С-Битрикс,203,-13693.0
Ремонт ПК,216,-14083.0
Аналитика,195,-14241.0
Сбор и анализ информации,269,-15201.0
Настройка сетевых подключений,708,-15249.0
Консультативные продажи,203,-16067.0
Маркетплейсы,247,-17755.0
CSS,219,-18552.0
Интернет-реклама,205,-18623.0
Сборка ПК,170,-18988.0
Техническая поддержка,410,-19001.0
Работа с оргтехникой,191,-19167.0
Розничная торговля,149,-19194.0
Настройка ПО,450,-20355.0
Настройка ПК,630,-20738.0
Active Directory,165,-21278.0
Администрирование серверов,249,-21817.0
Документооборот,255,-21955.0
HTML,494,-22327.0
Администрирование сетевого оборудования,559,-22536.0
Администрирование серверов Windows,299,-23332.0
Веб-программирование,207,-23480.0
Техническая поддержка пользователей,313,-23906.0
Мерчандайзинг,161,-24844.0
Обеспечение антивирусной защиты,163,-24949.0
Обслуживание покупателей,223,-25123.0
Организация мероприятий,151,-25173.0
Яндекс.Метрика,191,-25221.0
SEO оптимизация,202,-26133.0
Установка ПО,253,-26141.0
Настройка почтовых серверов,151,-27082.0
Figma,193,-27421.0
SEO,244,-27464.0
Adobe Photoshop,193,-30738.0
