model,r2,rmse,mae,best_iteration
XGBoost,0.4753060424073461,51158.825358597715,34741.57367189506,784
CatBoost,0.4616445199027608,51820.56000271216,35195.73281374172,983
LightGBM,0.4596851768097431,51914.774740370274,35394.79614215006,983
