name,point_estimate,boot_mean,ci_low_95,ci_high_95,excludes_zero,n_valid_resamples
Деловая переписка + Деловое общение + Телефонные переговоры,77448.0,74413.0,42169.0,120925.0,True,1000
Ведение переговоров + Телефонные переговоры,68016.0,66048.0,40877.0,93378.0,True,1000
Заключение договоров + Поиск и привлечение клиентов,65941.0,65387.0,37797.0,106313.0,True,1000
Заключение договоров + Телефонные переговоры,62617.0,61600.0,40990.0,91006.0,True,1000
B2B Продажи + Заключение договоров,61320.0,58811.0,33208.0,98034.0,True,1000
Активные продажи + Деловое общение,59985.0,57868.0,32697.0,90654.0,True,1000
Работа с CRM,58079.0,55664.0,35300.0,80607.0,True,1000
Kubernetes,56982.0,57966.0,40723.0,75211.0,True,1000
Активные продажи + Заключение договоров,56476.0,55839.0,34250.0,90108.0,True,1000
Работа с большим объемом информации + Телефонные переговоры,55632.0,52011.0,25623.0,81886.0,True,1000
B2B Продажи + Активные продажи,55492.0,54048.0,34971.0,78761.0,True,1000
Деловая коммуникация + Заключение договоров,55258.0,57329.0,37334.0,81710.0,True,1000
Деловое общение + Телефонные переговоры,55247.0,55632.0,34058.0,79369.0,True,1000
Поиск и привлечение клиентов + Телефонные переговоры,55168.0,56495.0,31860.0,91824.0,True,1000
Деловое общение + Заключение договоров,52781.0,51065.0,23358.0,88533.0,True,1000
Управление отношениями с клиентами,52654.0,48535.0,21606.0,76099.0,True,1000
Активные продажи + Управление продажами,52634.0,52500.0,35029.0,70409.0,True,1000
Навыки переговоров,51417.0,50763.0,29102.0,75257.0,True,1000
B2B Продажи + Деловая коммуникация,51188.0,49550.0,26667.0,75474.0,True,1000
B2B Продажи + Поиск и привлечение клиентов,50574.0,50470.0,27739.0,83925.0,True,1000
Активные продажи + Поиск и привлечение клиентов,49999.0,50370.0,32024.0,75142.0,True,1000
Активные продажи + Телефонные переговоры,49648.0,49035.0,30958.0,71697.0,True,1000
Выкладка товара + Мерчандайзинг,-48520.0,-48551.0,-56565.0,-41563.0,True,1000
Консультативные продажи + Мерчандайзинг + Приемка товара,-48407.0,-48465.0,-55754.0,-41891.0,True,1000
Выкладка товара + Приемка товара,-48340.0,-48372.0,-55968.0,-41578.0,True,1000
Выкладка товара + Мерчандайзинг + Обслуживание покупателей,-48326.0,-48366.0,-56461.0,-41348.0,True,1000
Активные продажи + Холодные продажи,48291.0,50007.0,32682.0,71517.0,True,1000
Консультативные продажи + Мерчандайзинг + Обслуживание покупателей + Приемка товара,-48281.0,-48347.0,-55432.0,-41872.0,True,1000
Управление командой + Управление продажами,48188.0,48032.0,31590.0,66605.0,True,1000
Выкладка товара + Обслуживание покупателей + Приемка товара,-48036.0,-48072.0,-55894.0,-41361.0,True,1000
Развитие продаж + Управление продажами,47996.0,49739.0,35095.0,66728.0,True,1000
Навыки продаж + Телефонные переговоры,47905.0,48541.0,32853.0,65905.0,True,1000
Мерчандайзинг + Приемка товара,-47793.0,-47836.0,-54004.0,-42172.0,True,1000
Мерчандайзинг + Обслуживание покупателей + Приемка товара,-47490.0,-47538.0,-53580.0,-41873.0,True,1000
Холодные продажи,47367.0,47037.0,32649.0,64028.0,True,1000
Выкладка товара,-47102.0,-47118.0,-54469.0,-40449.0,True,1000
Выкладка товара + Обслуживание покупателей,-46838.0,-46860.0,-54311.0,-40242.0,True,1000
Выкладка товара + Консультативные продажи,-46513.0,-46567.0,-54531.0,-39623.0,True,1000
Выкладка товара + Консультативные продажи + Обслуживание покупателей,-46341.0,-46402.0,-54425.0,-39502.0,True,1000
Консультативные продажи + Приемка товара,-45691.0,-45742.0,-52377.0,-39614.0,True,1000
Консультативные продажи + Обслуживание покупателей + Приемка товара,-45671.0,-45729.0,-52238.0,-39589.0,True,1000
Обслуживание покупателей + Приемка товара,-45501.0,-45542.0,-51461.0,-39805.0,True,1000
Консультативные продажи + Мерчандайзинг,-45341.0,-45380.0,-52194.0,-39444.0,True,1000
Консультативные продажи + Мерчандайзинг + Обслуживание покупателей,-45161.0,-45208.0,-51870.0,-39135.0,True,1000
Активные продажи + Деловая переписка,44666.0,43012.0,16445.0,89420.0,True,1000
Мониторинг рынка,44252.0,45669.0,15826.0,79155.0,True,1000
B2B Продажи + Развитие продаж,44204.0,47154.0,30783.0,67532.0,True,1000
Мерчандайзинг + Обслуживание покупателей,-44052.0,-44091.0,-50035.0,-38720.0,True,1000
BPMN + SQL,43986.0,42690.0,27597.0,57802.0,True,1000
Приемка товара,-43229.0,-43247.0,-50135.0,-36027.0,True,1000
Консультативные продажи + Обслуживание покупателей,-43081.0,-43112.0,-48515.0,-38189.0,True,1000
Деловая переписка + Телефонные переговоры,43073.0,41762.0,21750.0,68964.0,True,1000
Деловое общение + Навыки продаж,43016.0,43993.0,23213.0,66200.0,True,1000
Планирование продаж,42046.0,41721.0,27377.0,56510.0,True,1000
B2B Продажи,41872.0,41927.0,29963.0,56859.0,True,1000
Деловая переписка + Деловое общение + Работа с большим объемом информации,41753.0,42041.0,18331.0,69729.0,True,1000
Заключение договоров,41554.0,41384.0,29687.0,55912.0,True,1000
Настройка ПК + Техническая поддержка пользователей,-41191.0,-41546.0,-50595.0,-33457.0,True,1000
Работа с клиентами,-41188.0,-40864.0,-51930.0,-29874.0,True,1000
Мерчандайзинг,-40996.0,-41226.0,-46949.0,-35989.0,True,1000
Управление продажами,40691.0,39547.0,28874.0,51719.0,True,1000
Поиск и привлечение клиентов,40593.0,40570.0,27429.0,57589.0,True,1000
Подготовка коммерческих предложений,39802.0,38107.0,18523.0,67765.0,True,1000
Обслуживание покупателей,-39592.0,-39748.0,-45724.0,-34226.0,True,1000
RabbitMQ,39568.0,42742.0,26215.0,62172.0,True,1000
Ориентация на результат,39547.0,38160.0,20179.0,57417.0,True,1000
Деловая коммуникация + Телефонные переговоры,39496.0,38948.0,19204.0,60418.0,True,1000
Организаторские навыки + Руководство коллективом,39171.0,38095.0,16313.0,61997.0,True,1000
Настройка ПК + Установка ПО,-38604.0,-38861.0,-45623.0,-31695.0,True,1000
Активные продажи,38503.0,38297.0,28323.0,49114.0,True,1000
B2B Продажи + Телефонные переговоры,38306.0,39673.0,19147.0,71190.0,True,1000
Ведение переговоров,38237.0,37635.0,27564.0,48690.0,True,1000
Обеспечение антивирусной защиты,-38047.0,-39466.0,-48764.0,-31089.0,True,1000
Администрирование сетевого оборудования + Установка ПО,-38008.0,-38391.0,-46168.0,-30662.0,True,1000
Поиск и привлечение клиентов + Развитие продаж,37912.0,38492.0,23452.0,56134.0,True,1000
Стратегическое мышление,37437.0,37371.0,21267.0,55735.0,True,1000
Установка ПО,-37314.0,-37226.0,-43484.0,-31666.0,True,1000
Телефонные переговоры,37182.0,36790.0,26076.0,49330.0,True,1000
Кассовые чеки,-36976.0,-37280.0,-41528.0,-33335.0,True,819
Активные продажи + Развитие продаж,36406.0,36153.0,20968.0,52115.0,True,1000
Обслуживание покупателей + Розничная торговля,-36354.0,-35899.0,-44403.0,-26737.0,True,1000
