population,threshold,itemsets,priced,cells_used_median,cells_used_min,cells_used_max,coverage_median,coverage_min,coverage_p10,pairs,pearson_vs_5,spearman_vs_5,median_abs_diff,p90_abs_diff,max_abs_diff
all,3/3,316,316,16.0,5,24,0.9705381252410955,0.9078947368421053,0.939310852840072,316.0,0.9972860836648887,0.9959144557076115,578.2356352002219,1998.2824338734595,4070.1073768517713
all,5/5,316,316,13.0,3,24,0.9263800602208097,0.8051948051948052,0.8690271992158785,,,,,,
all,10/10,316,316,8.0,2,23,0.7988030429927415,0.46357615894039733,0.6371214104914027,316.0,0.9876175091306035,0.9861065633776571,1538.119236675433,4113.8600922977885,10867.926614666201
single,3/3,175,175,17.0,5,24,0.9766081871345029,0.9078947368421053,0.9456467776041187,175.0,0.9978148151921099,0.9967330944917152,473.4252792667103,1665.9327637834692,3667.439117192799
single,5/5,175,175,14.0,3,24,0.9388489208633094,0.8373493975903614,0.8800958083832335,,,,,,
single,10/10,175,175,9.0,2,23,0.8293413173652695,0.46357615894039733,0.6634087561922614,175.0,0.9884044075444746,0.9874675324675325,971.033168071129,3255.0055340782887,10867.926614666201
combo,3/3,141,141,15.0,10,22,0.9656652360515021,0.9079754601226994,0.9308176100628931,141.0,0.99660803737617,0.9892718010188792,838.1558798759283,2299.648070050731,4070.1073768517713
combo,5/5,141,141,12.0,7,19,0.9130434782608695,0.8051948051948052,0.8587570621468926,,,,,,
combo,10/10,141,141,8.0,3,14,0.7602040816326531,0.46405228758169936,0.6291390728476821,141.0,0.9862887407552413,0.9733421807440387,1922.4719807351394,4498.327939030112,7956.823027864943
