antecedent,consequent,confidence,lift,support
['Руководство коллективом'],['Организаторские навыки'],0.5293072824156305,5.488838950939476,0.020053835800807537
['Холодные продажи'],['B2B Продажи'],0.5431654676258992,11.993222658129067,0.010161507402422611
['Холодные продажи'],['Активные продажи'],0.7338129496402878,12.448014191386617,0.013728129205921938
['1С программирование'],['1С: Предприятие 8'],0.47342995169082125,8.939223738406103,0.026379542395693137
"['Телефонные переговоры', 'Деловое общение']",['Активные продажи'],0.4817073170731707,8.171427775921595,0.01063257065948856
"['Телефонные переговоры', 'Деловое общение']",['Деловая переписка'],0.45426829268292684,5.7794750250584705,0.010026917900403769
"['Деловое общение', 'Деловая коммуникация']",['Деловая переписка'],0.5625,7.156464041095891,0.01271870794078062
['Администрирование серверов'],['Администрирование сетевого оборудования'],0.678714859437751,18.042402166806763,0.011372812920592194
['Навыки продаж'],['Телефонные переговоры'],0.40625,7.603117128463476,0.013122476446837146
['Навыки продаж'],['Активные продажи'],0.5041666666666667,8.552416286149162,0.016285329744279948
['B2B Продажи'],['Активные продажи'],0.5022288261515602,8.519543786086968,0.022745625841184388
"['Поиск и привлечение клиентов', 'Телефонные переговоры']",['Активные продажи'],0.7478260869565218,12.685725630335519,0.011574697173620458
"['1С: Предприятие 8', '1С программирование']",['1С: Бухгалтерия'],0.4005102040816326,12.556079393782829,0.010565275908479138
"['Деловая переписка', 'Деловая коммуникация']",['Деловое общение'],0.42567567567567566,5.734850898042194,0.01271870794078062
['Планирование продаж'],['Развитие продаж'],0.4263959390862944,11.843446083780066,0.011305518169582772
['Планирование продаж'],['Управление продажами'],0.4213197969543147,12.803296897221097,0.01117092866756393
['Планирование продаж'],['Активные продажи'],0.5685279187817259,9.644206476137498,0.015074024226110363
['Ремонт ПК'],['Настройка ПК'],0.7592592592592593,17.908877131099352,0.011036339165545087
['Техническая поддержка пользователей'],['Настройка сетевых подключений'],0.5335463258785943,11.198444071406655,0.011238223418573352
['Техническая поддержка пользователей'],['Настройка ПК'],0.5111821086261981,12.057406562198894,0.010767160161507403
['Техническая поддержка пользователей'],['Администрирование сетевого оборудования'],0.48881789137380194,12.994336074802678,0.010296096904441453
['Проведение презентаций'],['Активные продажи'],0.4075,6.912614155251141,0.010969044414535667
