skill,Москва_shap,Москва_n,Санкт-Петербург_shap,Санкт-Петербург_n,Other_shap,Other_n,spread
Управление процессами,43651.0,55,43185.0,11,33198.0,62,10453.0
Управление рисками,26696.0,51,18455.0,17,16484.0,45,10212.0
Golang,32223.0,43,31767.0,11,26021.0,26,6202.0
Adobe Illustrator,-12377.0,35,-11234.0,16,-7527.0,39,4850.0
Java,12382.0,116,11819.0,38,7758.0,154,4624.0
B2C продажи,22584.0,39,18189.0,12,20649.0,36,4395.0
Организация учебного процесса,-29910.0,33,-30886.0,13,-26560.0,83,4326.0
Kotlin,10738.0,34,9215.0,13,6974.0,39,3764.0
Регрессионное тестирование,-18421.0,17,-14695.0,15,-15778.0,31,3726.0
C++,11725.0,81,12059.0,32,8479.0,184,3580.0
Информационная безопасность,5121.0,54,1619.0,19,2368.0,88,3502.0
Бизнес-планирование,5623.0,58,2509.0,10,3780.0,44,3114.0
Умение принимать решения,4146.0,51,5683.0,14,2593.0,88,3090.0
Автоматизация процессов,11868.0,104,10763.0,40,8841.0,140,3027.0
Power BI,8789.0,61,8040.0,18,5900.0,42,2889.0
Бюджетирование,9165.0,75,6632.0,25,6364.0,75,2801.0
Анализ продаж,417.0,81,3189.0,11,1468.0,71,2772.0
DevOps,3624.0,61,3047.0,14,5553.0,46,2506.0
Подбор персонала,-12646.0,152,-11664.0,53,-10287.0,227,2359.0
Теплые продажи,2380.0,71,44.0,12,1480.0,50,2336.0
Ориентация на клиента,476.0,42,2796.0,15,1927.0,53,2320.0
Kafka,12317.0,47,10329.0,10,10044.0,14,2273.0
Графический дизайн,-8881.0,38,-8446.0,12,-6644.0,37,2237.0
Git,3079.0,318,4157.0,106,5245.0,397,2166.0
Руководство коллективом,11949.0,177,11037.0,54,9811.0,332,2138.0
Управление командой,16762.0,309,16074.0,70,14708.0,360,2054.0
ORACLE,3563.0,51,1832.0,13,1519.0,24,2044.0
Анализ целевой аудитории,-1103.0,29,-1528.0,10,-3134.0,39,2031.0
Настройка ПК,-8725.0,138,-7606.0,65,-6711.0,427,2014.0
Ориентация на результат,8444.0,74,9557.0,19,7619.0,116,1938.0
Управленческие навыки,6945.0,101,5147.0,33,5146.0,177,1799.0
Документальное сопровождение,634.0,65,1369.0,31,2359.0,128,1725.0
Навыки переговоров,3779.0,159,5130.0,55,3418.0,253,1712.0
