skill,Москва_shap,Москва_n,Санкт-Петербург_shap,Санкт-Петербург_n,Other_shap,Other_n,spread
CMS Wordpress,-7704.0,28,-6497.0,15,-6112.0,46,1592.0
Adobe Photoshop,-10117.0,77,-9516.0,30,-8532.0,86,1585.0
MySQL,-5131.0,149,-3627.0,51,-3618.0,172,1513.0
Работа с клиентами,-5246.0,54,-3757.0,15,-5210.0,62,1489.0
1C: ERP,6172.0,46,6463.0,18,7654.0,54,1482.0
Веб-программирование,-10189.0,58,-9492.0,19,-8715.0,130,1474.0
Копирайтинг,-16883.0,41,-16733.0,10,-15425.0,39,1458.0
HTML5,-5057.0,43,-4596.0,17,-3614.0,59,1443.0
Групповое обучение,-12693.0,27,-13390.0,11,-11955.0,57,1435.0
Делопроизводство,-13211.0,27,-12937.0,13,-11799.0,44,1412.0
SEO,-7534.0,102,-6757.0,39,-6149.0,103,1385.0
Строительство,10572.0,126,10886.0,28,11925.0,156,1353.0
Clickhouse,17499.0,66,16209.0,12,16293.0,35,1290.0
SQL,4221.0,529,2939.0,146,3170.0,515,1282.0
Аналитические исследования,-3182.0,45,-4425.0,13,-4151.0,65,1243.0
Навыки межличностного общения,661.0,48,-534.0,20,-567.0,103,1228.0
Laravel,862.0,50,-314.0,13,652.0,56,1176.0
HTML,-12249.0,145,-11542.0,60,-11104.0,289,1145.0
Оптимизация бизнес-процессов,-2361.0,117,-1242.0,32,-2038.0,146,1119.0
Активные продажи,3710.0,284,4457.0,103,4809.0,489,1099.0
Android,-3910.0,50,-2829.0,10,-3633.0,22,1081.0
Планирование ресурсов,-5981.0,39,-4913.0,17,-5121.0,55,1068.0
MS SQL,1445.0,87,2190.0,34,1132.0,106,1058.0
BPMN,10011.0,115,9791.0,33,8962.0,73,1049.0
Организация мероприятий,-6840.0,61,-6398.0,15,-5824.0,75,1016.0
Web-дизайн,-5052.0,25,-4665.0,11,-4065.0,23,987.0
Настройка ПО,-3939.0,106,-3421.0,51,-2967.0,293,972.0
Стратегическое планирование,5226.0,70,4255.0,16,4676.0,85,971.0
CRM,-750.0,57,-774.0,19,190.0,83,964.0
Бизнес-анализ,1138.0,204,184.0,56,325.0,226,954.0
Обеспечение антивирусной защиты,-947.0,37,-1079.0,23,-1896.0,103,949.0
Управленческая отчетность,773.0,46,-168.0,21,-172.0,80,945.0
Техническая поддержка пользователей,-8053.0,83,-7421.0,43,-7114.0,187,939.0
Docker,-1221.0,254,-555.0,75,-318.0,190,903.0
Кадровое делопроизводство,-15536.0,19,-15263.0,11,-14644.0,45,892.0
REST,548.0,83,-304.0,23,170.0,76,852.0
Яндекс.Метрика,-6712.0,86,-5903.0,26,-6265.0,79,809.0
Веб-аналитика,-2558.0,43,-1756.0,17,-2273.0,40,802.0
Управление коммуникациями,-4038.0,55,-3246.0,17,-3750.0,69,792.0
Администрирование сетевого оборудования,-8172.0,149,-7383.0,75,-7407.0,335,789.0
Информационные технологии,744.0,100,967.0,46,182.0,291,785.0
Документооборот,-7975.0,77,-7863.0,35,-7210.0,143,765.0
1С программирование,12674.0,233,11928.0,69,12687.0,526,759.0
DNS,2296.0,28,1548.0,12,1763.0,38,748.0
Планирование продаж,87.0,133,562.0,41,833.0,220,746.0
1С: Управление Производственным Предприятием,-1121.0,32,-382.0,10,-894.0,98,739.0
Маркетинговые исследования,1552.0,46,819.0,15,905.0,62,733.0
Настройка сетевых подключений,-3740.0,147,-3710.0,77,-3016.0,484,724.0
SMM,-9482.0,57,-8791.0,18,-8761.0,61,721.0
jQuery,-5541.0,24,-4989.0,14,-4821.0,32,720.0
Управление интернет-проектами,-5732.0,56,-5065.0,17,-5034.0,55,698.0
Проведение презентаций,792.0,148,983.0,38,1472.0,214,680.0
MS Project,7066.0,59,7745.0,16,7298.0,52,679.0
Схемотехника электронного оборудования,-476.0,26,-1149.0,12,-489.0,31,673.0
Выявление потребностей,911.0,69,1542.0,21,1537.0,58,631.0
PostgreSQL,7890.0,370,7347.0,107,7280.0,282,610.0
Деловая переписка,-5524.0,404,-5147.0,146,-4916.0,618,608.0
Active Directory,-7999.0,54,-8199.0,20,-7596.0,91,603.0
Анализ рынка,744.0,152,988.0,38,1321.0,132,577.0
Python,4396.0,454,4497.0,146,3927.0,472,570.0
Сопровождение клиентов,732.0,49,478.0,13,164.0,35,568.0
Развитие продаж,2182.0,202,1687.0,52,1616.0,281,566.0
1С-Битрикс,-2280.0,65,-2367.0,26,-1812.0,112,555.0
Обучение персонала,-3482.0,109,-3462.0,45,-2928.0,260,554.0
Аналитика продаж,2562.0,129,2883.0,39,2329.0,210,554.0
Ansible,6086.0,35,5537.0,11,5968.0,25,549.0
MongoDB,430.0,31,335.0,15,881.0,28,546.0
Электронный документооборот,-4804.0,38,-4430.0,20,-4265.0,73,539.0
IP-телефония,-640.0,14,-312.0,16,-109.0,44,531.0
Составление договоров,430.0,28,541.0,15,42.0,29,499.0
Анализ бизнес показателей,8.0,72,507.0,18,503.0,73,499.0
Маркетплейсы,-7292.0,146,-7034.0,28,-6795.0,73,497.0
Монтаж оборудования,1864.0,52,1377.0,16,1556.0,216,487.0
Адаптация персонала,-713.0,49,-343.0,21,-235.0,61,478.0
Figma,-6641.0,84,-6621.0,32,-6167.0,77,474.0
Работа с возражениями,-381.0,39,92.0,23,-290.0,32,473.0
Анализ конкурентной среды,1987.0,163,1788.0,37,1516.0,121,471.0
Бухгалтерский учет,-2949.0,56,-3243.0,17,-2775.0,96,468.0
Оценка потребностей клиентов,-771.0,63,-743.0,15,-1201.0,40,458.0
HTTP,-2268.0,35,-2413.0,13,-2717.0,39,449.0
Node.js,1106.0,65,680.0,28,695.0,58,426.0
Удаленное администрирование,-2098.0,31,-2114.0,15,-2516.0,67,418.0
Внутренние коммуникации,-589.0,53,-1007.0,16,-984.0,62,418.0
RabbitMQ,1797.0,79,1549.0,20,1380.0,39,417.0
Администрирование серверов,-1391.0,79,-1217.0,40,-980.0,130,411.0
ERP-системы на базе 1С,12717.0,142,12337.0,28,12309.0,190,408.0
Работа с CRM,2324.0,92,2010.0,18,1919.0,68,405.0
1С: Комплексная автоматизация,1516.0,41,1416.0,11,1113.0,66,403.0
1С: Зарплата и управление персоналом,6566.0,71,6173.0,20,6572.0,133,399.0
Ручное тестирование,-6854.0,28,-6456.0,15,-6489.0,50,398.0
Redis,183.0,105,-202.0,24,-146.0,65,385.0
Техническая поддержка,-5321.0,109,-5362.0,56,-4978.0,245,384.0
СУБД,1874.0,29,1576.0,12,1956.0,38,380.0
Kubernetes,13174.0,107,13320.0,28,12944.0,66,376.0
Стратегический менеджмент,944.0,34,683.0,10,1058.0,42,375.0
Грамотная речь,-2370.0,121,-2649.0,63,-2284.0,269,365.0
Управление изменениями,-173.0,36,139.0,10,189.0,18,362.0
1С: Документооборот,1638.0,95,1279.0,33,1564.0,204,359.0
Техническая документация,1213.0,86,1565.0,36,1498.0,168,352.0
Продвижение сайтов,-1313.0,30,-983.0,12,-962.0,40,351.0
Управление отношениями с клиентами,2178.0,92,2096.0,34,1830.0,81,348.0
Разработка бизнес-требований,2614.0,45,2267.0,12,2528.0,26,347.0
Аналитика,-3795.0,89,-3457.0,21,-3499.0,85,338.0
Системный анализ,761.0,129,559.0,35,429.0,124,332.0
UI,-947.0,49,-680.0,15,-617.0,39,330.0
Финансовая отчетность,-2170.0,22,-2035.0,12,-1848.0,39,322.0
Разработка пользовательской документации,-2062.0,36,-2240.0,17,-2382.0,44,320.0
B2B Продажи,1863.0,280,1663.0,70,1979.0,323,316.0
Креативность,-198.0,26,115.0,13,85.0,33,313.0
Холодные продажи,2222.0,99,2530.0,35,2369.0,144,308.0
Автоматизация бизнес-процессов,-361.0,55,-665.0,18,-392.0,62,304.0
Стрессоустойчивость,-137.0,32,-438.0,22,-381.0,68,301.0
Битрикс24,-3054.0,103,-2911.0,40,-2753.0,135,301.0
CI/CD,1258.0,93,1451.0,21,1555.0,53,297.0
Точечный подбор персонала,-5129.0,25,-4934.0,12,-5226.0,29,292.0
Чтение чертежей,69.0,47,355.0,16,300.0,75,286.0
MS Excel,-1580.0,146,-1641.0,60,-1866.0,177,286.0
Работа с оргтехникой,-5292.0,45,-5233.0,15,-5009.0,131,283.0
Деловая коммуникация,-2875.0,573,-2715.0,186,-2595.0,768,280.0
Функциональное тестирование,-3497.0,23,-3222.0,23,-3251.0,55,275.0
Работа в команде,-3227.0,141,-3094.0,70,-2959.0,386,268.0
Обучение и развитие,-3967.0,255,-3940.0,62,-3703.0,480,264.0
Контроль качества,-3135.0,96,-3395.0,37,-3160.0,262,260.0
Точность и внимательность к деталям,-3818.0,99,-4047.0,57,-3792.0,269,255.0
Ведение переговоров,1344.0,178,1143.0,59,1389.0,238,246.0
CSS3,-999.0,35,-779.0,14,-755.0,48,244.0
Установка ПО,-3572.0,65,-3328.0,32,-3374.0,156,244.0
DHCP,-442.0,34,-466.0,16,-224.0,46,242.0
Стратегия продаж,-955.0,54,-991.0,11,-752.0,40,239.0
Linux,2109.0,377,1938.0,143,1872.0,459,237.0
Разработка технической документации,-362.0,33,-339.0,16,-129.0,71,233.0
Grafana,194.0,47,142.0,17,371.0,39,229.0
Unit-экономика,-17.0,46,6.0,14,205.0,33,222.0
Мониторинг рынка,-765.0,83,-806.0,20,-585.0,59,221.0
Настройка почтовых серверов,-880.0,42,-849.0,32,-1067.0,77,218.0
Проектный менеджмент,-974.0,133,-841.0,34,-757.0,121,217.0
ЕСКД,-1449.0,34,-1233.0,14,-1325.0,22,216.0
AutoCAD,75.0,90,288.0,37,253.0,84,213.0
Kanban,-500.0,25,-658.0,10,-448.0,12,210.0
Управление продажами,8710.0,176,8522.0,53,8729.0,260,207.0
TypeScript,506.0,92,495.0,28,701.0,97,206.0
Nginx,227.0,41,432.0,19,370.0,33,205.0
ABC-анализ,-273.0,58,-70.0,10,-229.0,38,203.0
Английский язык,4936.0,314,4892.0,77,5091.0,181,199.0
MS PowerPoint,-1285.0,93,-1451.0,15,-1253.0,76,198.0
Веб-дизайн,-845.0,46,-985.0,18,-793.0,38,192.0
C/C++,12918.0,53,12726.0,28,12736.0,63,192.0
Поиск информации в интернет,-610.0,45,-777.0,11,-591.0,96,186.0
Работа с поставщиками,-3369.0,63,-3183.0,11,-3362.0,52,186.0
Моделирование бизнес-процессов,-30.0,36,-70.0,11,-213.0,29,183.0
Навыки презентации,219.0,103,254.0,26,402.0,149,183.0
Многозадачность,-476.0,32,-600.0,17,-417.0,37,183.0
Project management,-1118.0,94,-1296.0,21,-1255.0,48,178.0
1С: Предприятие 8,150.0,227,121.0,80,-27.0,480,177.0
VMware,269.0,32,101.0,11,172.0,26,168.0
Управление конфликтами,859.0,43,811.0,11,693.0,27,166.0
Навыки продаж,-129.0,132,-45.0,51,35.0,297,164.0
Стратегическое мышление,3316.0,112,3415.0,21,3480.0,90,164.0
Внимательность,-833.0,60,-995.0,23,-950.0,122,162.0
Управление подрядчиками,99.0,62,247.0,16,257.0,59,158.0
Инженерные системы,-8.0,51,-164.0,25,-143.0,95,156.0
Телефонные переговоры,149.0,250,-2.0,106,85.0,438,151.0
1С: Предприятие,123.0,56,171.0,23,269.0,139,146.0
MS Office,-398.0,53,-253.0,12,-273.0,63,145.0
Работа с документами,-476.0,28,-332.0,19,-443.0,62,144.0
Бухгалтерская отчетность,-309.0,29,-451.0,14,-310.0,64,142.0
Интернет маркетинг,-721.0,60,-606.0,19,-580.0,56,141.0
Базы данных,71.0,81,125.0,36,-15.0,176,140.0
TCP/IP,60.0,75,156.0,35,19.0,105,137.0
Анализ бизнес-процессов,-24.0,63,-136.0,15,-155.0,88,131.0
REST API,-180.0,177,-51.0,52,-104.0,130,129.0
Управление персоналом,251.0,32,128.0,19,123.0,103,128.0
Постановка задач разработчикам,633.0,161,581.0,43,708.0,173,127.0
Администрирование,-287.0,49,-413.0,28,-363.0,135,126.0
Google Docs,-6621.0,43,-6745.0,10,-6663.0,45,124.0
1С,213.0,192,143.0,57,92.0,330,121.0
Договорная работа,-9.0,51,-86.0,12,-128.0,46,119.0
Продвижение бренда,-272.0,140,-285.0,32,-167.0,131,118.0
JavaScript,-653.0,182,-541.0,79,-535.0,307,118.0
Согласование договоров,-70.0,30,-25.0,12,47.0,22,117.0
Сбор и анализ информации,-4960.0,105,-4846.0,26,-4963.0,138,117.0
Digital Marketing,-377.0,69,-296.0,18,-411.0,34,115.0
Грамотность,-2697.0,32,-2676.0,19,-2583.0,56,114.0
Умение работать в коллективе,-665.0,122,-771.0,38,-727.0,229,106.0
Маркетинговая стратегия,188.0,78,292.0,15,209.0,65,104.0
Управление бюджетом,334.0,38,339.0,14,236.0,45,103.0
MikroTik,-1695.0,42,-1798.0,23,-1725.0,50,103.0
UX,-386.0,56,-344.0,18,-285.0,40,101.0
Охрана труда и техника безопасности,-183.0,19,-85.0,11,-142.0,59,98.0
PHP,-345.0,175,-396.0,61,-300.0,254,96.0
Системная интеграция,659.0,53,644.0,15,737.0,34,93.0
Контекстная реклама,-406.0,45,-478.0,11,-388.0,47,90.0
Работа с большим объемом информации,-3747.0,426,-3834.0,139,-3746.0,730,88.0
Заключение договоров,2210.0,237,2247.0,82,2159.0,363,88.0
Оценка персонала,-764.0,34,-677.0,17,-745.0,39,87.0
Atlassian Jira,-692.0,75,-660.0,25,-607.0,39,85.0
Подготовка презентаций,-260.0,87,-175.0,19,-198.0,94,85.0
Планирование,424.0,125,508.0,31,500.0,151,84.0
Умение планировать,-1233.0,46,-1190.0,18,-1273.0,82,83.0
Прямые продажи,1263.0,62,1345.0,18,1288.0,137,82.0
React,84.0,87,148.0,34,166.0,73,82.0
Контроль исполнения решений,1661.0,66,1743.0,21,1681.0,67,82.0
Организаторские навыки,-342.0,505,-359.0,154,-422.0,774,80.0
API,193.0,143,160.0,49,240.0,104,80.0
Финансовый анализ,-467.0,47,-387.0,12,-443.0,56,80.0
Разработка технических заданий,311.0,199,317.0,72,383.0,308,72.0
Деловое общение,-593.0,371,-562.0,125,-523.0,607,70.0
Коммуникабельность,-239.0,67,-209.0,31,-169.0,113,70.0
Анализ данных,-644.0,168,-695.0,39,-625.0,180,70.0
Поиск и привлечение клиентов,887.0,169,822.0,64,817.0,290,70.0
Клиентоориентированность,-231.0,89,-166.0,32,-208.0,114,65.0
Разработка ПО,264.0,66,245.0,16,202.0,108,62.0
SEO оптимизация,-3432.0,83,-3371.0,29,-3415.0,90,61.0
Аналитическое мышление,-1152.0,537,-1129.0,162,-1189.0,706,60.0
Проектирование,-305.0,31,-272.0,11,-246.0,44,59.0
Проектная документация,705.0,122,683.0,43,651.0,169,54.0
1С: Управление Торговлей,362.0,135,313.0,38,364.0,223,51.0
Администрирование ОС,-379.0,26,-350.0,19,-399.0,70,49.0
Управление качеством,-1550.0,13,-1529.0,14,-1501.0,84,49.0
Продуктовая стратегия,2506.0,48,2458.0,14,2490.0,39,48.0
Мотивация персонала,73.0,72,27.0,24,52.0,143,46.0
1С: Бухгалтерия,432.0,142,392.0,45,387.0,287,45.0
Bash,-238.0,68,-281.0,35,-260.0,68,43.0
Аналитика маркетплейсов,115.0,31,72.0,10,113.0,12,43.0
оформление документации,-412.0,17,-387.0,16,-428.0,60,41.0
Разработка маркетинговой стратегии,198.0,52,159.0,13,197.0,52,39.0
Обновление конфигурации 1С,-248.0,77,-250.0,24,-286.0,159,38.0
Анализ требований,106.0,64,144.0,26,132.0,68,38.0
Организационные навыки,-353.0,22,-390.0,15,-357.0,37,37.0
Администрирование серверов Windows,-15.0,89,18.0,45,10.0,165,33.0
Agile,-468.0,71,-465.0,27,-437.0,70,31.0
Пользователь ПК,-1908.0,66,-1939.0,41,-1915.0,251,31.0
Продуктовые метрики,91.0,56,116.0,19,120.0,43,29.0
Развитие ключевых клиентов,410.0,37,382.0,10,410.0,59,28.0
ООП,-234.0,48,-216.0,26,-242.0,107,26.0
Планирование бюджета,-19.0,77,-14.0,31,-39.0,69,25.0
Маркетинговый анализ,17.0,108,25.0,35,41.0,122,24.0
Моделирование бизнес процессов,-225.0,47,-232.0,14,-209.0,52,23.0
Консультирование клиентов,-64.0,63,-45.0,34,-64.0,116,19.0
Управление проектами,-47.0,215,-65.0,81,-54.0,293,18.0
FastAPI,-272.0,46,-288.0,12,-280.0,29,16.0
Интернет-реклама,-663.0,89,-655.0,25,-648.0,91,15.0
Работа с базами данных,-274.0,124,-289.0,36,-281.0,235,15.0
Управление ресурсами,168.0,66,156.0,16,169.0,46,13.0
E-Commerce,-122.0,154,-116.0,33,-129.0,53,13.0
Ведение переписки,-347.0,29,-351.0,12,-358.0,40,11.0
Математическая статистика,-98.0,20,-100.0,12,-100.0,20,2.0
Управление временем,0.0,55,0.0,10,0.0,70,0.0
Организация работы сотрудников,0.0,72,0.0,25,0.0,81,0.0
Zabbix,0.0,74,0.0,22,0.0,75,0.0
Scrum,0.0,60,0.0,20,0.0,60,0.0
Internet Marketing,0.0,68,0.0,19,0.0,51,0.0
Администрирование серверов Linux,0.0,67,0.0,30,0.0,99,0.0
Закупки,0.0,76,0.0,10,0.0,50,0.0
слаботочные системы,0.0,33,0.0,14,0.0,87,0.0
Контроль и анализ ценообразования,0.0,32,0.0,12,0.0,15,0.0
Ведение документации,0.0,32,0.0,18,0.0,114,0.0
Сборка ПК,0.0,42,0.0,21,0.0,107,0.0
UML,0.0,87,0.0,20,0.0,45,0.0
Разработка инструкций,0.0,43,0.0,17,0.0,89,0.0
Cisco,0.0,35,0.0,10,0.0,23,0.0
АСУ ТП,0.0,13,0.0,10,0.0,44,0.0
Поисковая оптимизация сайтов,0.0,15,0.0,11,0.0,28,0.0
QA,0.0,18,0.0,13,0.0,24,0.0
Проведение собеседований,0.0,22,0.0,11,0.0,27,0.0
Прототипирование,0.0,29,0.0,12,0.0,20,0.0
iOS,0.0,38,0.0,10,0.0,14,0.0
Qt,0.0,23,0.0,12,0.0,30,0.0
Резервное копирование,0.0,43,0.0,23,0.0,77,0.0
C#,0.0,56,0.0,20,0.0,114,0.0
Навыки составления отчетности,0.0,13,0.0,10,0.0,35,0.0
MS SQL Server,0.0,42,0.0,23,0.0,62,0.0
Основы управления проектами,0.0,44,0.0,10,0.0,69,0.0
Электрические системы и слаботочные системы,0.0,31,0.0,11,0.0,83,0.0
Системное мышление,0.0,32,0.0,12,0.0,72,0.0
JSON,0.0,53,0.0,18,0.0,43,0.0
Подготовка коммерческих предложений,0.0,113,0.0,37,0.0,127,0.0
Монтаж инженерных систем,0.0,29,0.0,11,0.0,72,0.0
Разработка нового продукта,0.0,59,0.0,12,0.0,36,0.0
Жизненный цикл проекта,0.0,51,0.0,11,0.0,50,0.0
VPN,0.0,44,0.0,19,0.0,45,0.0
Разработка проектной документации,0.0,38,0.0,21,0.0,44,0.0
Apache Kafka,0.0,64,0.0,17,0.0,41,0.0
Маркетинговые коммуникации,0.0,58,0.0,12,0.0,53,0.0
Ремонт ПК,0.0,35,0.0,22,0.0,159,0.0
CSS,0.0,74,0.0,26,0.0,119,0.0
Системы видеонаблюдения,0.0,66,0.0,24,0.0,141,0.0
XML,0.0,55,0.0,13,0.0,54,0.0
Офисная техника,0.0,24,0.0,10,0.0,85,0.0
Ценообразование,0.0,67,0.0,16,0.0,37,0.0
Анализ ассортиментной линейки,0.0,49,0.0,10,0.0,37,0.0
Настройка серверов,0.0,21,0.0,15,0.0,55,0.0
Ответственность,0.0,128,0.0,39,0.0,225,0.0
Postman,0.0,38,0.0,16,0.0,34,0.0
Google Analytics,0.0,40,0.0,12,0.0,35,0.0
Техническое обслуживание,0.0,100,0.0,35,0.0,263,0.0
Ведение проектной документации,0.0,37,0.0,20,0.0,36,0.0
Яндекс.Директ,0.0,46,0.0,13,0.0,37,0.0
Работа с ключевыми клиентами,0.0,32,0.0,17,0.0,42,0.0
Разработка стратегии развития,0.0,36,0.0,12,0.0,34,0.0
Нормативно-техническая документация,0.0,25,0.0,14,0.0,45,0.0
Atlassian Confluence,0.0,60,0.0,10,0.0,15,0.0
SOAP,0.0,46,0.0,14,0.0,26,0.0
Управление ассортиментом,0.0,40,0.0,11,0.0,27,0.0
Управленческий учет,0.0,28,0.0,10,0.0,39,0.0
Тестирование,0.0,25,0.0,10,0.0,39,0.0
ERP,0.0,21,0.0,10,0.0,20,0.0
Wordpress,0.0,16,0.0,10,0.0,23,0.0
