,tagged_pct,usable_pct,ratio
Управление персоналом,0.92,1.04,1.13
Обеспечение антивирусной защиты,0.97,1.1,1.13
Финансовое моделирование,0.24,0.27,1.13
E-Mail Marketing,0.24,0.27,1.13
Проведение презентаций,2.39,2.69,1.13
Аналитика продаж,2.25,2.54,1.13
Установка ПО,1.51,1.7,1.13
Прогнозирование,0.3,0.34,1.13
Организация встреч,0.3,0.34,1.13
Социальные сети,0.39,0.44,1.13
Навыки межличностного общения,1.02,1.15,1.13
CRM,0.95,1.07,1.13
Маркетинговая стратегия,0.94,1.06,1.13
Управление проектами,3.51,3.96,1.13
Управленческий учет,0.46,0.52,1.13
ABC-анализ,0.63,0.71,1.13
Мотивация персонала,1.43,1.61,1.13
Строительство,1.85,2.09,1.13
Развитие бренда,0.54,0.61,1.13
Создание конфигурации 1С,0.54,0.61,1.13
Обучаемость,0.31,0.35,1.13
Bitrix,0.38,0.43,1.13
Маркетинговые метрики,0.24,0.27,1.13
Вывод продукта на рынок,0.24,0.27,1.13
Активные продажи,5.29,5.9,1.12
Нормативно-техническая документация,0.51,0.57,1.12
Бюджетирование,1.05,1.18,1.12
Unit-экономика,0.56,0.63,1.12
Учет товаров,0.26,0.29,1.12
Умение работать в условиях многозадачности,0.25,0.28,1.12
Интернет-реклама,1.23,1.38,1.12
HR-аналитика,0.32,0.36,1.12
Коммуникативные навыки,0.32,0.36,1.12
Оперативное планирование,0.32,0.36,1.12
Внутренняя оптимизация сайта,0.25,0.28,1.12
Технический надзор,0.26,0.29,1.12
Делопроизводство,0.51,0.57,1.12
Internet Marketing,0.83,0.93,1.12
DHCP,0.58,0.65,1.12
Документооборот,1.53,1.72,1.12
Анализ конкурентной среды,1.93,2.16,1.12
Обучение и развитие,4.78,5.36,1.12
Планирование ресурсов,0.67,0.75,1.12
E-Commerce,1.45,1.62,1.12
Установка драйверов,0.43,0.48,1.12
Управление производством,0.4,0.45,1.12
Маркетплейсы,1.48,1.66,1.12
SEO,1.46,1.64,1.12
Производственный контроль,0.49,0.55,1.12
Администрирование серверов Windows,1.79,2.01,1.12
Управление подрядчиками,0.82,0.92,1.12
SEO оптимизация,1.21,1.36,1.12
Логистика,0.4,0.45,1.12
Управление интернет-проектами,0.77,0.86,1.12
Работа с ТМЦ,0.34,0.38,1.12
строительно-монтажные работы,0.25,0.28,1.12
Управление ожиданиями,0.51,0.57,1.12
Чтение чертежей,0.83,0.93,1.12
Планирование рекламных кампаний,0.53,0.59,1.11
Диагностика,0.28,0.31,1.11
Автоматизация,0.27,0.3,1.11
Основы маркетинга,0.28,0.31,1.11
Обновление конфигурации 1С,1.58,1.75,1.11
Маркетинговый анализ,1.6,1.78,1.11
Производство строительно-монтажных работ,0.47,0.52,1.11
Диагностика неисправностей,0.64,0.71,1.11
Анализ рынка,1.95,2.17,1.11
Анализ целевой аудитории,0.47,0.52,1.11
1С: Предприятие 8,4.79,5.3,1.11
Реклама,0.28,0.31,1.11
AutoCAD,1.28,1.42,1.11
Разработка проектной документации,0.62,0.69,1.11
SEO-копирайтинг,0.28,0.31,1.11
Управление продажами,2.96,3.29,1.11
Autodesk Revit,0.27,0.3,1.11
Заключение договоров,4.14,4.59,1.11
Прототипирование,0.37,0.41,1.11
1С: Зарплата и кадры,0.81,0.9,1.11
Организаторские навыки,8.71,9.64,1.11
Управленческая отчетность,0.89,0.99,1.11
Пунктуальность,0.36,0.4,1.11
Дизайн,0.35,0.39,1.11
Проведение собеседований,0.36,0.4,1.11
Контроль и анализ ценообразования,0.36,0.4,1.11
Работа с возражениями,0.57,0.63,1.11
Работа с ключевыми клиентами,0.55,0.61,1.11
Развитие продаж,3.28,3.6,1.1
Организация мероприятий,0.93,1.02,1.1
Интернет маркетинг,0.83,0.91,1.1
Управление коммуникациями,0.86,0.95,1.1
Розничная торговля,0.91,1.0,1.1
Деловая переписка,7.15,7.86,1.1
Планирование,1.89,2.07,1.1
Техническая поддержка пользователей,1.91,2.11,1.1
Продвижение бренда,1.85,2.04,1.1
Продуктовая стратегия,0.62,0.68,1.1
Работа в условиях многозадачности,0.49,0.54,1.1
Аудит поисковой видимости сайта,0.31,0.34,1.1
Ориентация на клиента,0.67,0.74,1.1
Ведение отчетности,0.29,0.32,1.1
Согласование договоров,0.39,0.43,1.1
Точечный подбор персонала,0.4,0.44,1.1
Проведение инвентаризаций,0.39,0.43,1.1
1С: Управление Торговлей,2.42,2.66,1.1
Яндекс.Метрика,1.17,1.29,1.1
Консультативные продажи,1.24,1.37,1.1
Приемка товара,0.83,0.91,1.1
Технический контроль производства,0.39,0.43,1.1
Адаптация персонала,0.8,0.88,1.1
Планирование бюджета,1.08,1.19,1.1
Точность и внимательность к деталям,2.59,2.86,1.1
Жизненный цикл проекта,0.68,0.75,1.1
Проектный менеджмент,1.76,1.94,1.1
Запуск новых продуктов,0.29,0.32,1.1
1С: Предприятие,1.34,1.47,1.1
Телефонные переговоры,4.86,5.34,1.1
Управление конфликтами,0.5,0.55,1.1
Исполнение личных поручений руководителя,0.29,0.32,1.1
Чтение электросхем,0.29,0.32,1.1
Django Framework,0.3,0.33,1.1
Ремонт ПК,1.33,1.45,1.09
Работа с документами,0.67,0.73,1.09
Удаленное администрирование,0.7,0.76,1.09
Контроль качества,2.43,2.66,1.09
Составление договоров,0.44,0.48,1.09
Управление эффективностью,0.35,0.38,1.09
Руководство коллективом,3.48,3.79,1.09
Разработка инструкций,0.92,1.0,1.09
Анализ бизнес показателей,1.01,1.1,1.09
Поиск и привлечение клиентов,3.22,3.52,1.09
оформление документации,0.58,0.63,1.09
Стратегическое мышление,1.38,1.5,1.09
Управление бизнес процессами,0.67,0.73,1.09
Планирование маркетинговых кампаний,0.45,0.49,1.09
Управление строительством,0.46,0.5,1.09
Оптимизация бизнес-процессов,1.82,1.99,1.09
Маркетинговое планирование,0.53,0.58,1.09
Деловая коммуникация,9.41,10.28,1.09
Графический дизайн,0.54,0.59,1.09
3D Моделирование,0.47,0.51,1.09
Первичная бухгалтерская документация,0.34,0.37,1.09
Наставничество,0.33,0.36,1.09
Работа в команде,3.69,4.02,1.09
Аналитические способности,0.33,0.36,1.09
Формирование бюджета,0.32,0.35,1.09
Подготовка презентаций,1.24,1.35,1.09
Управление отношениями с клиентами,1.27,1.39,1.09
Hyper-V,0.33,0.36,1.09
Планирование продаж,2.43,2.65,1.09
Управление ресурсами,0.79,0.86,1.09
Инициативность,0.24,0.26,1.08
Мобильность,0.25,0.27,1.08
Анализ продаж,1.02,1.1,1.08
исполнение поручений руководителя,0.25,0.27,1.08
RDP,0.25,0.27,1.08
Логистика поставок,0.24,0.26,1.08
Мониторинг рынка,1.01,1.09,1.08
Групповое обучение,0.59,0.64,1.08
Администрирование серверов,1.56,1.68,1.08
Мотивация сотрудников,0.51,0.55,1.08
Работа с большим объемом информации,8.07,8.71,1.08
Внутренний контроль,0.71,0.77,1.08
Разработка маркетинговой стратегии,0.73,0.79,1.08
1С: Комплексная автоматизация,0.73,0.79,1.08
Ориентация на результат,1.31,1.41,1.08
Работа с оргтехникой,1.2,1.29,1.08
Лидерские качества,0.37,0.4,1.08
Тестирование безопасности,0.37,0.4,1.08
MS PowerPoint,1.15,1.24,1.08
Чтение проектной документации,0.26,0.28,1.08
Навыки продаж,2.98,3.23,1.08
Web-дизайн,0.37,0.4,1.08
Умение работать в коллективе,2.43,2.62,1.08
Написание текстов,0.39,0.42,1.08
Маркетинговые коммуникации,0.77,0.83,1.08
Работа с базами данных,2.47,2.66,1.08
Битрикс24,1.73,1.87,1.08
Стратегический маркетинг,0.28,0.3,1.07
Ведение переговоров,2.98,3.2,1.07
Ведение документации,1.03,1.1,1.07
Оценка персонала,0.57,0.61,1.07
1С,3.65,3.9,1.07
Администрирование сетевого оборудования,3.53,3.76,1.07
GitHub,0.46,0.49,1.07
Выкладка товара,0.59,0.63,1.07
Бухгалтерская отчетность,0.67,0.72,1.07
Финансовый контроль,0.3,0.32,1.07
Автоматизация процессов,1.78,1.91,1.07
Контроль выполнения задач,0.29,0.31,1.07
1С программирование,5.22,5.57,1.07
Деловое общение,6.93,7.42,1.07
Лидогенерация,0.42,0.45,1.07
Схемотехника электронного оборудования,0.43,0.46,1.07
Аналитика,1.23,1.31,1.07
Финансовая отчетность,0.46,0.49,1.07
1С: Бухгалтерия,2.98,3.19,1.07
Стратегическое планирование,1.07,1.15,1.07
1С: Зарплата и управление персоналом,1.41,1.51,1.07
Поиск информации в интернет,0.95,1.02,1.07
Настройка ПО,2.86,3.03,1.06
CustDev,0.34,0.36,1.06
Инвентаризация,0.5,0.53,1.06
Управление командой,4.69,4.97,1.06
Медиапланирование,0.36,0.38,1.06
Техническая поддержка,2.6,2.76,1.06
Active Directory,1.05,1.11,1.06
Складская логистика,0.33,0.35,1.06
Пуско-наладочные работы,0.52,0.55,1.06
Системная интеграция,0.65,0.69,1.06
Инженерные системы,1.08,1.15,1.06
Контроль сотрудников,0.53,0.56,1.06
Коммуникабельность,1.34,1.42,1.06
Google Docs,0.62,0.66,1.06
Работа с дебиторской задолженностью,0.31,0.33,1.06
Грамотность,0.68,0.72,1.06
Разработка бизнес-требований,0.53,0.56,1.06
Техническая документация,1.84,1.95,1.06
ERP-системы на базе 1С,2.28,2.42,1.06
Аналитические исследования,0.78,0.83,1.06
Лидерство,0.82,0.87,1.06
Организация учебного процесса,0.82,0.87,1.06
Стрессоустойчивость,0.77,0.82,1.06
1С-Битрикс,1.29,1.37,1.06
Кадровое делопроизводство,0.47,0.5,1.06
Adobe Illustrator,0.58,0.61,1.05
Ремонтные работы,0.57,0.6,1.05
Преподаватель,0.4,0.42,1.05
Анализ финансовых показателей,0.42,0.44,1.05
Анализ обратной связи,0.38,0.4,1.05
Настройка ПК,4.03,4.24,1.05
1С: Документооборот,2.12,2.23,1.05
Навыки составления отчетности,0.37,0.39,1.05
Подбор персонала,2.78,2.91,1.05
Управление изменениями,0.41,0.43,1.05
Helpdesk,0.42,0.44,1.05
Офисная техника,0.76,0.8,1.05
Клиентоориентированность,1.5,1.58,1.05
Управленческие навыки,1.99,2.09,1.05
Аналитическое мышление,8.99,9.45,1.05
Проектная документация,2.16,2.25,1.04
Постановка задач разработчикам,2.44,2.54,1.04
Техническая эксплуатация,0.27,0.28,1.04
Моделирование бизнес-процессов,0.49,0.51,1.04
Google Analytics,0.57,0.59,1.04
Стратегический менеджмент,0.56,0.58,1.04
Финансовое планирование,0.24,0.25,1.04
Управление процессами,0.83,0.86,1.04
Электронный документооборот,0.85,0.88,1.04
MS Office,0.83,0.86,1.04
Adobe Photoshop,1.25,1.3,1.04
Навыки переговоров,3.03,3.14,1.04
Моделирование бизнес процессов,0.73,0.76,1.04
Proxmox,0.28,0.29,1.04
Исполнительность,0.68,0.71,1.04
MS Visio,0.25,0.26,1.04
Управление временем,0.88,0.91,1.03
Финансовый анализ,0.75,0.77,1.03
Продуктовые метрики,0.77,0.79,1.03
Стратегия продаж,0.69,0.71,1.03
UX,0.75,0.77,1.03
Ответственность,2.56,2.64,1.03
Анализ данных,2.53,2.6,1.03
Настройка серверов,0.59,0.61,1.03
Охрана труда и техника безопасности,0.58,0.6,1.03
Интеграционное тестирование,0.35,0.36,1.03
Поисковая оптимизация сайтов,0.35,0.36,1.03
Экономический анализ,0.37,0.38,1.03
Контроль исправности оборудования,0.38,0.39,1.03
Go,0.32,0.33,1.03
Ремонт оборудования,0.34,0.35,1.03
Системный подход,0.63,0.65,1.03
Разработка пользовательской документации,0.63,0.65,1.03
CMS Wordpress,0.58,0.6,1.03
Информационные технологии,2.85,2.94,1.03
Ведение проектной документации,0.62,0.63,1.02
MS Project,0.83,0.85,1.02
Сбор и анализ информации,1.78,1.81,1.02
XML,0.8,0.82,1.02
Веб-аналитика,0.66,0.67,1.02
Расстановка приоритетов,0.47,0.48,1.02
Автоматизация бизнес-процессов,0.89,0.91,1.02
Настройка сетевых подключений,4.66,4.76,1.02
SMM,0.9,0.92,1.02
Копирайтинг,0.6,0.61,1.02
CSS3,0.64,0.65,1.02
Консультирование клиентов,1.42,1.43,1.01
Бухгалтерский учет,1.13,1.14,1.01
Веб-программирование,1.38,1.39,1.01
1С: Управление Производственным Предприятием,0.93,0.94,1.01
MS SQL Server,0.84,0.85,1.01
Digital Marketing,0.8,0.81,1.01
Разработка технической документации,0.8,0.81,1.01
Подготовка отчетов,0.28,0.28,1.0
Преподавание,0.39,0.39,1.0
Сборка ПК,1.14,1.14,1.0
Административное управление,0.24,0.24,1.0
Проведение тестирований,0.24,0.24,1.0
Налоговый учет,0.25,0.25,1.0
Анализ воронки продаж,0.38,0.38,1.0
Техническое обслуживание оборудования,0.32,0.32,1.0
ERP,0.34,0.34,1.0
VueJS,0.37,0.37,1.0
.NET Core,0.28,0.28,1.0
Figma,1.3,1.3,1.0
Agile Project Management,0.4,0.4,1.0
Управление производственным персоналом,0.4,0.4,1.0
Сетевые технологии,0.3,0.3,1.0
MikroTik,0.77,0.77,1.0
Управление стейкхолдерами,0.3,0.3,1.0
Разработка технических заданий,3.9,3.9,1.0
Построение воронки продаж,0.51,0.51,1.0
Креативность,0.48,0.48,1.0
Оптимизация кода,0.26,0.26,1.0
Оптимизация бизнес процессов,0.27,0.27,1.0
Контроль сроков годности,0.26,0.26,1.0
Roadmap,0.26,0.26,1.0
ASP.NET,0.25,0.25,1.0
SAP,0.28,0.28,1.0
Бизнес-планирование,0.76,0.75,0.99
Управление рисками,0.77,0.76,0.99
Администрирование,1.44,1.43,0.99
Администрирование серверов Linux,1.33,1.32,0.99
Договорная работа,0.74,0.73,0.99
Навыки презентации,1.88,1.87,0.99
Техническое обслуживание,2.7,2.68,0.99
PHP,3.33,3.3,0.99
UI,0.7,0.69,0.99
Symfony,0.4,0.39,0.98
Windows Server,0.47,0.46,0.98
Сопровождение клиентов,0.66,0.65,0.98
Разработка компьютерных Игр,0.43,0.42,0.98
Оценка потребностей клиентов,0.81,0.79,0.98
VMware,0.47,0.46,0.98
HTML,3.42,3.32,0.97
Бережливое производство,0.3,0.29,0.97
Atlassian Confluence,0.59,0.57,0.97
Электрические системы и слаботочные системы,0.87,0.84,0.97
MS Excel,2.65,2.58,0.97
Проведение переговоров,0.58,0.56,0.97
Работа с CRM,1.24,1.2,0.97
jQuery,0.49,0.47,0.96
Обучение,0.5,0.48,0.96
OSI,0.27,0.26,0.96
Внимательность,1.44,1.38,0.96
Project management,1.15,1.1,0.96
1C: ERP,0.82,0.79,0.96
Грамотная письменная речь,0.46,0.44,0.96
ИТ-инфраструктура,0.27,0.26,0.96
Внутренние коммуникации,0.93,0.88,0.95
Рекрутмент,0.38,0.36,0.95
REST,1.28,1.22,0.95
PowerShell,0.39,0.37,0.95
VPN,0.77,0.73,0.95
C#,1.35,1.28,0.95
Базы данных,2.07,1.97,0.95
Выявление потребностей,1.05,1.0,0.95
Power BI,0.85,0.81,0.95
Системы видеонаблюдения,1.65,1.55,0.94
AI,0.35,0.33,0.94
Деловая этика,0.34,0.32,0.94
Gitlab,0.77,0.72,0.94
Qt,0.47,0.44,0.94
Тестирование,0.53,0.5,0.94
Управление бэклогом,0.49,0.46,0.94
ЕСКД,0.5,0.47,0.94
Бизнес-анализ,3.53,3.27,0.93
Анализ бизнес-процессов,1.2,1.12,0.93
HTML5,0.86,0.8,0.93
MySQL,2.69,2.5,0.93
IP-телефония,0.54,0.5,0.93
MS SQL,1.64,1.53,0.93
Laravel,0.86,0.8,0.93
Рефакторинг кода,0.24,0.22,0.92
СКУД,0.24,0.22,0.92
Локальные сети,0.48,0.44,0.92
Cisco,0.5,0.46,0.92
Dart,0.24,0.22,0.92
Product Management,0.24,0.22,0.92
Debian,0.25,0.23,0.92
Управление требованиями,0.25,0.23,0.92
Node.js,1.11,1.02,0.92
Выездное обслуживание,0.9,0.83,0.92
Системный анализ,2.11,1.94,0.92
TypeScript,1.59,1.46,0.92
CSS,1.6,1.47,0.92
Аналитический склад ума,0.66,0.61,0.92
React,1.42,1.31,0.92
Электротехнические работы,0.39,0.36,0.92
A/B тесты,0.46,0.42,0.91
SOAP,0.64,0.58,0.91
Английский язык,4.24,3.85,0.91
Настройка роутеров,1.16,1.05,0.91
Монтаж инженерных систем,0.82,0.75,0.91
SaaS,0.33,0.3,0.91
Linux,7.34,6.59,0.9
СУБД,0.59,0.53,0.9
Выездное обслуживание оборудования,0.39,0.35,0.9
JavaScript,4.26,3.82,0.9
Алгоритмы и структуры данных,0.29,0.26,0.9
Windows,0.31,0.28,0.9
Разработка ПО,1.42,1.28,0.9
SQL,8.98,8.01,0.89
Docker-compose,0.27,0.24,0.89
Системы безопасности,0.27,0.24,0.89
Terraform,0.27,0.24,0.89
FastAPI,0.66,0.59,0.89
Wordpress,0.37,0.33,0.89
Регрессионное тестирование,0.47,0.42,0.89
Грамотная устная речь,0.46,0.41,0.89
Телефонное интервью,0.28,0.25,0.89
Flutter,0.36,0.32,0.89
SPIN-продажи,0.36,0.32,0.89
Kanban,0.36,0.32,0.89
UML,1.14,1.02,0.89
PostgreSQL,5.82,5.11,0.88
Грамотная речь,3.47,3.05,0.88
Микросервисная архитектура,0.25,0.22,0.88
Atlassian Jira,1.07,0.94,0.88
Анализ требований,1.2,1.06,0.88
Nginx,0.72,0.63,0.88
MongoDB,0.57,0.5,0.88
Электромонтажные работы,0.64,0.56,0.88
Blender 3D,0.41,0.36,0.88
Описание бизнес-процессов,0.75,0.66,0.88
Ansible,0.55,0.48,0.87
Zabbix,1.32,1.15,0.87
API,2.3,1.99,0.87
Golang,0.62,0.54,0.87
MS Word,0.55,0.48,0.87
Unity,1.08,0.94,0.87
Swagger,0.42,0.36,0.86
REST API,2.81,2.42,0.86
B2C продажи,0.69,0.59,0.86
Мотивация,0.64,0.55,0.86
BPMN,1.76,1.49,0.85
Redis,1.55,1.31,0.85
Монтаж оборудования,2.26,1.91,0.85
VLAN,0.47,0.4,0.85
TCP/IP,1.7,1.45,0.85
ГОСТ,0.33,0.28,0.85
Scrum,1.1,0.94,0.85
Компас-3D,0.34,0.29,0.85
Прокладка кабелей,1.18,1.0,0.85
HR,0.26,0.22,0.85
Пользователь ПК,2.83,2.41,0.85
Визуализация данных,0.26,0.22,0.85
Ручное тестирование,0.75,0.63,0.84
C++,2.38,2.0,0.84
DNS,0.62,0.52,0.84
Информационная безопасность,1.29,1.08,0.84
Clickhouse,0.9,0.76,0.84
Java,2.49,2.07,0.83
User Story,0.58,0.48,0.83
Теплые продажи,1.08,0.9,0.83
Автоматизированное тестирование,0.3,0.25,0.83
JSON,0.93,0.77,0.83
ООП,1.47,1.22,0.83
Python,8.69,7.21,0.83
Функциональное тестирование,0.83,0.68,0.82
LLM,0.51,0.42,0.82
Git,6.71,5.52,0.82
Altium Designer,0.28,0.23,0.82
ORACLE,0.72,0.59,0.82
DevOps,1.0,0.81,0.81
Системное мышление,0.96,0.78,0.81
DWH,0.26,0.21,0.81
GitLab CI,0.36,0.29,0.81
слаботочные системы,1.11,0.9,0.81
SIEM,0.25,0.2,0.8
Grafana,0.86,0.69,0.8
С#,0.54,0.43,0.8
HTTP,0.74,0.59,0.8
Agile,1.43,1.13,0.79
Bash,1.46,1.15,0.79
Kotlin,0.74,0.58,0.78
RabbitMQ,1.19,0.93,0.78
Big Data,0.48,0.37,0.77
Docker,4.53,3.49,0.77
amoCRM,0.67,0.51,0.76
Spring Boot,0.29,0.22,0.76
Jira,0.29,0.22,0.76
Android,0.72,0.55,0.76
iOS,0.55,0.42,0.76
Математическая статистика,0.46,0.35,0.76
Нагрузочное тестирование,0.34,0.26,0.76
Postman,0.78,0.59,0.76
Системы охранно-тревожной сигнализации,0.29,0.22,0.76
Публичные выступления,0.39,0.29,0.74
Kubernetes,1.85,1.35,0.73
Сбор требований,0.49,0.36,0.73
Телевидение,0.57,0.41,0.72
pandas,0.39,0.28,0.72
C/C++,1.34,0.97,0.72
Scala,0.24,0.17,0.71
Spring Framework,0.59,0.42,0.71
Kafka,0.68,0.48,0.71
Data Analysis,0.34,0.24,0.71
NoSQL,0.27,0.19,0.7
Prometheus,0.67,0.47,0.7
Computer Vision,0.3,0.21,0.7
CI/CD,1.59,1.12,0.7
ETL,0.42,0.29,0.69
Настройка оборудования,0.45,0.31,0.69
Use case,0.5,0.34,0.68
Работа с электроинструментом,0.43,0.29,0.67
Связь,0.43,0.29,0.67
STM32,0.33,0.22,0.67
Менеджмент,0.34,0.22,0.65
Apache Kafka,1.26,0.82,0.65
Azure,0.26,0.17,0.65
Интернет,0.39,0.25,0.64
Wi-Fi,0.38,0.24,0.63
Numpy,0.37,0.23,0.62
JS,0.42,0.26,0.62
RAG,0.28,0.17,0.61
QA,0.61,0.37,0.61
Монтажник,0.38,0.23,0.61
PyTorch,0.5,0.3,0.6
Инженер связи,0.37,0.22,0.59
MATLAB,0.37,0.22,0.59
Apache Airflow,0.36,0.21,0.58
Excel,0.4,0.23,0.57
OpenCV,0.39,0.22,0.56
Jenkins,0.43,0.24,0.56
MVC,0.28,0.15,0.54
ML,0.32,0.17,0.53
MLOps,0.24,0.1,0.42
Scikit-learn,0.24,0.09,0.38
Selenium,0.38,0.14,0.37
