,tagged_pct,usable_pct,ratio
Сметы,0.33,0.42,1.27
Участие в Тендерах,0.24,0.3,1.25
Продвинутый пользователь ПК,0.25,0.31,1.24
Аналитика маркетплейсов,0.29,0.36,1.24
Первичная документация,0.26,0.32,1.23
АСУ ТП,0.37,0.45,1.22
Административная поддержка руководителя,0.32,0.39,1.22
Кассовые операции,0.78,0.94,1.21
Выбор подрядных организаций,0.33,0.4,1.21
Настройка почтовых серверов,0.84,1.02,1.21
Менеджмент качества,0.29,0.35,1.21
Прямые продажи,1.21,1.46,1.21
Предпродажная подготовка товара,0.33,0.4,1.21
Ассортиментная матрица,0.28,0.34,1.21
Работа на выставках,0.29,0.35,1.21
Исходно-разрешительная документация,0.24,0.29,1.21
Управление работой с ключевыми клиентами,0.24,0.29,1.21
Контроль поставок,0.24,0.29,1.21
Корпоративная культура,0.25,0.3,1.2
Оформление витрин,0.41,0.49,1.2
Разработка стратегии развития,0.46,0.55,1.2
Онбординг,0.25,0.3,1.2
Оформление торгового зала,0.54,0.64,1.19
Знание кассовой дисциплины,0.53,0.63,1.19
работа с текущей базой клиентов,0.27,0.32,1.19
Настройка DNS,0.32,0.38,1.19
Веб-дизайн,0.58,0.69,1.19
Конкурентная аналитика,0.54,0.64,1.19
Контекстная реклама,0.58,0.69,1.19
Контроль качества продукции,0.32,0.38,1.19
Консультирование,0.36,0.43,1.19
Администрирование сайтов,0.42,0.5,1.19
Работа с проектной документацией,0.37,0.44,1.19
Анализ ассортиментной линейки,0.55,0.65,1.18
Подготовка коммерческих предложений,1.58,1.86,1.18
Умение работать в команде,0.55,0.65,1.18
Производственное планирование,0.34,0.4,1.18
Развитие ключевых клиентов,0.6,0.71,1.18
Организация работы сотрудников,1.02,1.2,1.18
Работа с поставщиками,0.72,0.85,1.18
Администрирование ОС,0.65,0.77,1.18
Wildberries,0.39,0.46,1.18
Управление ассортиментом,0.44,0.52,1.18
Автоматизация технологических процессов,0.34,0.4,1.18
Графические редакторы,0.33,0.39,1.18
Складской Учет,0.59,0.69,1.17
1С: Розница,0.24,0.28,1.17
Windows 7,0.24,0.28,1.17
Визуальный мерчандайзинг,0.53,0.62,1.17
Закупка товаров и услуг,0.41,0.48,1.17
Заказ товара,0.42,0.49,1.17
Строительный контроль,0.46,0.54,1.17
Делегирование,0.29,0.34,1.17
Составление отчетности,0.29,0.34,1.17
Ozon,0.29,0.34,1.17
Оптимизация затрат,0.29,0.34,1.17
Анализ ценообразования,0.29,0.34,1.17
Кассовые чеки,0.63,0.73,1.16
Холодные звонки,0.31,0.36,1.16
Организационные навыки,0.43,0.5,1.16
Ценообразование,0.7,0.81,1.16
Обслуживание покупателей,1.29,1.5,1.16
Холодные продажи,1.61,1.87,1.16
Яндекс.Директ,0.56,0.65,1.16
Мониторинг цен,0.51,0.59,1.16
Контроль исполнения решений,0.9,1.04,1.16
Проектирование,0.5,0.58,1.16
Управление бюджетом,0.56,0.65,1.16
Организация деловых встреч,0.32,0.37,1.16
Разработка нового продукта,0.62,0.72,1.16
Линейная выкладка товара,0.26,0.3,1.15
Закупки,0.8,0.92,1.15
Мерчандайзинг,0.94,1.08,1.15
Составление семантического ядра,0.33,0.38,1.15
Таргетинг,0.27,0.31,1.15
Массовый подбор персонала,0.27,0.31,1.15
Маркетинговые исследования,0.72,0.83,1.15
Сопровождение строительства,0.54,0.62,1.15
Наполнение контентом,0.55,0.63,1.15
1C: Предприятие,0.27,0.31,1.15
Обучение персонала,2.43,2.79,1.15
Продвижение сайтов,0.48,0.55,1.15
Выкладка товаров,0.62,0.71,1.15
Ведение переписки,0.48,0.55,1.15
Общественное питание,0.26,0.3,1.15
Транспортная логистика,0.33,0.38,1.15
Знание устройства автомобиля,0.34,0.39,1.15
Расчет заработной платы,0.26,0.3,1.15
Разработка регламентов,0.28,0.32,1.14
JSON API,0.44,0.5,1.14
Основы управления проектами,0.73,0.83,1.14
1C: Бухгалтерия,0.42,0.48,1.14
Работа с клиентами,0.77,0.88,1.14
Управление качеством,0.66,0.75,1.14
Командообразование,0.28,0.32,1.14
Многозадачность,0.51,0.58,1.14
Умение принимать решения,0.9,1.03,1.14
B2B Продажи,3.98,4.53,1.14
Взаимодействие с контрольными органами,0.37,0.42,1.14
Умение планировать,0.86,0.98,1.14
Резервное копирование,0.84,0.96,1.14
Документальное сопровождение,1.32,1.51,1.14
Управление товарными запасами,0.29,0.33,1.14
Взаимодействие с надзорными организациями,0.28,0.32,1.14
Налоговая отчетность,0.28,0.32,1.14
